centroid_x,centroid_y
1.290769230769230660e+02,1.532307692307692264e+02
1.292105263157894797e+02,1.584210526315789593e+02
1.970000000000000000e+02,6.000000000000000000e+01
2.890000000000000000e+02,7.400000000000000000e+01
9.200000000000000000e+01,4.000000000000000000e+01
3.900000000000000000e+01,1.480000000000000000e+02
1.570000000000000000e+02,9.800000000000000000e+01
2.070000000000000000e+02,9.900000000000000000e+01
2.070000000000000000e+02,1.330000000000000000e+02
3.500000000000000000e+01,2.040000000000000000e+02
9.000000000000000000e+00,8.800000000000000000e+01
2.330000000000000000e+02,7.600000000000000000e+01
6.600000000000000000e+01,4.500000000000000000e+01
2.460000000000000000e+02,2.800000000000000000e+01
2.090000000000000000e+02,1.130000000000000000e+02
2.900000000000000000e+02,2.130000000000000000e+02
5.500000000000000000e+01,1.010000000000000000e+02
4.500000000000000000e+01,1.300000000000000000e+01
1.640000000000000000e+02,7.500000000000000000e+01
1.350000000000000000e+02,1.170000000000000000e+02
2.500000000000000000e+02,3.700000000000000000e+01
1.390000000000000000e+02,2.070000000000000000e+02
1.160000000000000000e+02,9.200000000000000000e+01
1.070000000000000000e+02,3.500000000000000000e+01
1.790000000000000000e+02,1.030000000000000000e+02
1.930000000000000000e+02,2.900000000000000000e+01
4.200000000000000000e+01,6.300000000000000000e+01
2.700000000000000000e+01,8.700000000000000000e+01
1.470000000000000000e+02,5.700000000000000000e+01
1.390000000000000000e+02,1.410000000000000000e+02
9.000000000000000000e+00,2.310000000000000000e+02
2.320000000000000000e+02,1.470000000000000000e+02
2.510000000000000000e+02,1.360000000000000000e+02
2.880000000000000000e+02,1.780000000000000000e+02
2.600000000000000000e+02,1.950000000000000000e+02
2.720000000000000000e+02,2.260000000000000000e+02
2.900000000000000000e+02,2.380000000000000000e+02
2.580000000000000000e+02,1.810000000000000000e+02
2.770000000000000000e+02,1.290000000000000000e+02
1.780000000000000000e+02,1.180000000000000000e+02
1.470000000000000000e+02,7.700000000000000000e+01
2.890000000000000000e+02,3.400000000000000000e+01
1.300000000000000000e+01,7.000000000000000000e+00
1.400000000000000000e+01,1.550000000000000000e+02
8.500000000000000000e+01,1.780000000000000000e+02
7.500000000000000000e+01,7.200000000000000000e+01
1.820000000000000000e+02,1.500000000000000000e+02
9.600000000000000000e+01,9.600000000000000000e+01
2.060000000000000000e+02,4.500000000000000000e+01
1.620000000000000000e+02,3.100000000000000000e+01
2.890000000000000000e+02,1.330000000000000000e+02
8.600000000000000000e+01,7.800000000000000000e+01
1.140000000000000000e+02,1.440000000000000000e+02
6.900000000000000000e+01,2.350000000000000000e+02
1.290000000000000000e+02,1.400000000000000000e+01
1.820000000000000000e+02,1.690000000000000000e+02
2.610000000000000000e+02,2.380000000000000000e+02
1.530000000000000000e+02,1.870000000000000000e+02
4.800000000000000000e+01,2.000000000000000000e+01
1.150000000000000000e+02,1.780000000000000000e+02
7.000000000000000000e+01,1.830000000000000000e+02
1.020000000000000000e+02,8.000000000000000000e+01
2.070000000000000000e+02,9.300000000000000000e+01
2.000000000000000000e+02,1.180000000000000000e+02
2.680000000000000000e+02,1.360000000000000000e+02
2.580000000000000000e+02,2.180000000000000000e+02
2.480000000000000000e+02,2.120000000000000000e+02
1.060000000000000000e+02,1.630000000000000000e+02
2.440000000000000000e+02,9.300000000000000000e+01
2.810000000000000000e+02,1.200000000000000000e+01
2.060000000000000000e+02,7.700000000000000000e+01
2.900000000000000000e+02,1.910000000000000000e+02
1.020000000000000000e+02,1.690000000000000000e+02
1.410000000000000000e+02,1.860000000000000000e+02
1.120000000000000000e+02,4.700000000000000000e+01
2.310000000000000000e+02,4.500000000000000000e+01
9.900000000000000000e+01,1.700000000000000000e+01
1.820000000000000000e+02,1.240000000000000000e+02
1.270000000000000000e+02,2.020000000000000000e+02
2.460000000000000000e+02,1.610000000000000000e+02
2.780000000000000000e+02,2.500000000000000000e+02
