col,row,snr
2.610000000000000000e+02,2.200000000000000000e+01,3.602924348396373322e+00
6.000000000000000000e+01,1.820000000000000000e+02,1.126259209508675241e+01
5.300000000000000000e+01,1.260000000000000000e+02,3.000000000000000000e+00
1.940000000000000000e+02,1.090000000000000000e+02,7.277713284809936845e+00
2.510000000000000000e+02,1.220000000000000000e+02,3.000000000000000000e+00
2.240000000000000000e+02,1.130000000000000000e+02,6.964034781890530823e+00
1.860000000000000000e+02,7.000000000000000000e+01,1.266607191172781199e+01
1.810000000000000000e+02,9.700000000000000000e+01,4.063527800022256997e+00
8.300000000000000000e+01,1.850000000000000000e+02,7.159367832962547418e+00
2.550000000000000000e+02,1.120000000000000000e+02,3.000000000000000000e+00
2.830000000000000000e+02,1.280000000000000000e+02,4.411365049197510046e+00
2.690000000000000000e+02,2.500000000000000000e+01,3.066797452840390292e+00
1.900000000000000000e+02,1.270000000000000000e+02,3.712520123834530672e+00
2.710000000000000000e+02,4.700000000000000000e+01,8.644169973855781564e+00
7.100000000000000000e+01,7.500000000000000000e+01,4.011032897516141560e+00
1.840000000000000000e+02,1.260000000000000000e+02,8.325726450845152726e+00
2.480000000000000000e+02,1.700000000000000000e+01,7.806609788466710498e+00
2.330000000000000000e+02,5.000000000000000000e+00,6.693822729176823749e+00
6.900000000000000000e+01,1.330000000000000000e+02,1.073532518538218739e+01
2.750000000000000000e+02,1.030000000000000000e+02,6.883401694919681013e+00
2.430000000000000000e+02,9.900000000000000000e+01,8.416306470420344965e+00
2.800000000000000000e+01,4.500000000000000000e+01,9.754366438231894421e+00
2.790000000000000000e+02,1.160000000000000000e+02,3.600266649308675682e+00
2.280000000000000000e+02,1.170000000000000000e+02,1.085610526719899660e+01
4.500000000000000000e+01,4.700000000000000000e+01,5.126003614761522442e+00
2.450000000000000000e+02,7.300000000000000000e+01,6.585583246281529135e+00
1.900000000000000000e+02,1.400000000000000000e+02,3.771411756205922394e+00
5.900000000000000000e+01,1.490000000000000000e+02,1.016179070200179702e+01
7.100000000000000000e+01,1.440000000000000000e+02,5.897303921385125491e+00
4.500000000000000000e+01,1.270000000000000000e+02,8.182243275544571759e+00
2.280000000000000000e+02,4.900000000000000000e+01,1.174237185443007903e+01
3.000000000000000000e+01,1.670000000000000000e+02,7.418801788506017125e+00
3.700000000000000000e+01,1.490000000000000000e+02,3.000000000000000000e+00
2.770000000000000000e+02,1.100000000000000000e+01,5.017844191099602114e+00
2.640000000000000000e+02,7.500000000000000000e+01,6.366432360101230259e+00
8.500000000000000000e+01,1.700000000000000000e+02,3.759563654025881441e+00
5.000000000000000000e+00,1.750000000000000000e+02,1.086750150982905438e+01
7.300000000000000000e+01,1.890000000000000000e+02,7.595347324342913709e+00
2.340000000000000000e+02,3.600000000000000000e+01,6.270411209047891177e+00
5.900000000000000000e+01,1.600000000000000000e+02,5.516409334216101357e+00
2.330000000000000000e+02,8.000000000000000000e+01,5.159901836048554458e+00
4.500000000000000000e+01,1.970000000000000000e+02,7.451633147661383738e+00
6.400000000000000000e+01,6.300000000000000000e+01,7.828223980643243429e+00
1.890000000000000000e+02,1.190000000000000000e+02,6.895121025559014960e+00
2.060000000000000000e+02,5.400000000000000000e+01,4.357759700159096639e+00
2.710000000000000000e+02,1.410000000000000000e+02,1.024934222761592295e+01
1.730000000000000000e+02,1.110000000000000000e+02,4.482461354213404192e+00
2.910000000000000000e+02,1.320000000000000000e+02,5.577553800174433363e+00
2.680000000000000000e+02,9.000000000000000000e+01,8.292320172454871852e+00
2.930000000000000000e+02,1.040000000000000000e+02,3.000000000000000000e+00
2.470000000000000000e+02,1.090000000000000000e+02,5.914435812583946017e+00
2.560000000000000000e+02,1.370000000000000000e+02,3.565386553528433922e+00
2.630000000000000000e+02,1.050000000000000000e+02,8.536572533191842282e+00
2.940000000000000000e+02,3.000000000000000000e+01,9.488591405527699862e+00
1.950000000000000000e+02,6.600000000000000000e+01,7.630979877222671348e+00
2.910000000000000000e+02,1.040000000000000000e+02,3.862419084756353982e+00
3.200000000000000000e+01,1.770000000000000000e+02,8.406404051941548161e+00
2.770000000000000000e+02,5.900000000000000000e+01,6.773972245941691561e+00
6.700000000000000000e+01,1.880000000000000000e+02,6.544186945098821262e+00
2.850000000000000000e+02,1.410000000000000000e+02,6.753586225203708437e+00
1.680000000000000000e+02,1.180000000000000000e+02,5.873256950399438736e+00
1.990000000000000000e+02,1.140000000000000000e+02,8.133100462206355630e+00
5.000000000000000000e+01,1.590000000000000000e+02,8.792558056500089592e+00
5.100000000000000000e+01,1.880000000000000000e+02,7.791131245912403358e+00
5.600000000000000000e+01,1.590000000000000000e+02,7.092569653961198206e+00
5.100000000000000000e+01,1.810000000000000000e+02,9.543936496245947865e+00
1.910000000000000000e+02,9.300000000000000000e+01,6.508576433515117721e+00
2.020000000000000000e+02,9.800000000000000000e+01,6.753565099580048248e+00
2.480000000000000000e+02,1.340000000000000000e+02,7.474398777985652664e+00
3.700000000000000000e+01,1.550000000000000000e+02,8.434423451108843395e+00
2.780000000000000000e+02,3.600000000000000000e+01,6.710102416303382000e+00
1.920000000000000000e+02,1.040000000000000000e+02,7.454988621933444470e+00
7.200000000000000000e+01,1.520000000000000000e+02,7.509609263501437759e+00
2.310000000000000000e+02,5.100000000000000000e+01,8.158989068325483984e+00
7.100000000000000000e+01,1.770000000000000000e+02,9.830751137811811091e+00
8.300000000000000000e+01,2.070000000000000000e+02,7.026942278693105060e+00
2.480000000000000000e+02,1.360000000000000000e+02,3.000000000000000000e+00
2.830000000000000000e+02,1.340000000000000000e+02,8.378896868894685213e+00
4.500000000000000000e+01,1.770000000000000000e+02,7.014955133345067040e+00
7.000000000000000000e+00,1.600000000000000000e+02,8.908924554120975614e+00
2.810000000000000000e+02,6.600000000000000000e+01,8.842837503943483668e+00
2.910000000000000000e+02,1.180000000000000000e+02,9.741260811179579093e+00
1.790000000000000000e+02,7.900000000000000000e+01,5.422107585460606671e+00
7.300000000000000000e+01,8.200000000000000000e+01,3.170827716524600159e+00
7.200000000000000000e+01,6.300000000000000000e+01,9.808938662658597707e+00
3.500000000000000000e+01,1.370000000000000000e+02,8.229794042664069664e+00
5.700000000000000000e+01,1.530000000000000000e+02,4.797802421003431128e+00
