col,row,snr
1.840000000000000000e+02,1.450000000000000000e+02,1.031106248871974884e+01
2.910000000000000000e+02,2.500000000000000000e+01,9.788246988391007264e+00
2.570000000000000000e+02,1.240000000000000000e+02,1.156001504284551373e+01
4.800000000000000000e+01,4.300000000000000000e+01,1.074996359853442307e+01
2.340000000000000000e+02,8.500000000000000000e+01,1.055237041510963714e+01
6.700000000000000000e+01,1.470000000000000000e+02,1.012450028320066764e+01
2.190000000000000000e+02,4.100000000000000000e+01,1.025463007134079696e+01
7.700000000000000000e+01,2.000000000000000000e+02,9.121777682805774390e+00
7.200000000000000000e+01,2.050000000000000000e+02,1.041749430968482493e+01
2.220000000000000000e+02,7.900000000000000000e+01,1.119085422685783016e+01
6.800000000000000000e+01,1.340000000000000000e+02,1.114090496223214366e+01
6.400000000000000000e+01,6.400000000000000000e+01,9.609605367177518787e+00
1.900000000000000000e+02,8.100000000000000000e+01,1.041004131976342961e+01
2.880000000000000000e+02,1.190000000000000000e+02,9.617189910062549529e+00
3.500000000000000000e+01,1.840000000000000000e+02,7.872386121512601420e+00
2.080000000000000000e+02,6.100000000000000000e+01,1.112674838214459427e+01
2.060000000000000000e+02,7.000000000000000000e+01,1.138020816642862343e+01
2.400000000000000000e+01,1.870000000000000000e+02,8.996136632673618294e+00
2.630000000000000000e+02,5.800000000000000000e+01,7.925938802107777903e+00
2.300000000000000000e+01,1.150000000000000000e+02,8.125752359920447532e+00
2.530000000000000000e+02,6.000000000000000000e+00,1.036127594907926941e+01
1.960000000000000000e+02,1.010000000000000000e+02,1.070128560331938594e+01
2.910000000000000000e+02,1.150000000000000000e+02,1.030706610406944002e+01
6.600000000000000000e+01,1.560000000000000000e+02,1.093428826843596013e+01
6.600000000000000000e+01,5.100000000000000000e+01,1.068900886566694375e+01
2.810000000000000000e+02,1.100000000000000000e+01,1.261577025827627452e+01
8.000000000000000000e+00,1.540000000000000000e+02,9.941107674088433654e+00
2.640000000000000000e+02,1.070000000000000000e+02,8.678010659648947467e+00
2.660000000000000000e+02,9.300000000000000000e+01,1.013429052780027462e+01
6.200000000000000000e+01,1.880000000000000000e+02,1.152129637895206393e+01
3.600000000000000000e+01,1.850000000000000000e+02,9.581655801123076799e+00
3.600000000000000000e+01,7.300000000000000000e+01,9.956929686639837129e+00
2.450000000000000000e+02,5.600000000000000000e+01,1.121147168335038913e+01
7.100000000000000000e+01,1.390000000000000000e+02,1.024179190846048115e+01
2.010000000000000000e+02,8.900000000000000000e+01,1.059464411286637109e+01
7.600000000000000000e+01,1.780000000000000000e+02,1.061265132566809832e+01
2.810000000000000000e+02,7.500000000000000000e+01,1.014831954167127748e+01
2.690000000000000000e+02,1.140000000000000000e+02,9.968750041404323525e+00
2.770000000000000000e+02,9.900000000000000000e+01,1.070780344967028874e+01
6.700000000000000000e+01,1.580000000000000000e+02,9.575343467751807225e+00
1.560000000000000000e+02,1.160000000000000000e+02,1.008828788838176038e+01
4.500000000000000000e+01,1.890000000000000000e+02,1.057469298792774914e+01
1.940000000000000000e+02,1.430000000000000000e+02,9.581387921471160141e+00
1.300000000000000000e+01,1.670000000000000000e+02,9.242577314321305693e+00
2.590000000000000000e+02,6.700000000000000000e+01,1.079323164351652942e+01
2.150000000000000000e+02,5.100000000000000000e+01,9.261161020248055209e+00
2.080000000000000000e+02,6.000000000000000000e+01,1.056304280651049154e+01
2.250000000000000000e+02,1.300000000000000000e+02,1.087952238471145172e+01
1.200000000000000000e+01,1.060000000000000000e+02,1.034124177593827554e+01
5.700000000000000000e+01,1.950000000000000000e+02,9.360122884761606699e+00
