col,row,snr
2.080000000000000000e+02,3.400000000000000000e+01,8.439133224783255116e+00
2.160000000000000000e+02,4.100000000000000000e+01,1.022405358629150918e+01
2.930000000000000000e+02,5.700000000000000000e+01,7.580194362858315493e+00
2.340000000000000000e+02,1.050000000000000000e+02,6.773976207478853873e+00
1.980000000000000000e+02,5.700000000000000000e+01,8.972356321982564609e+00
1.980000000000000000e+02,1.550000000000000000e+02,8.269261129267631460e+00
5.400000000000000000e+01,1.520000000000000000e+02,8.562337436639044341e+00
5.500000000000000000e+01,2.020000000000000000e+02,8.015704768314490636e+00
7.600000000000000000e+01,1.810000000000000000e+02,1.017894643185212544e+01
8.200000000000000000e+01,1.770000000000000000e+02,6.959674642631031638e+00
5.100000000000000000e+01,1.470000000000000000e+02,1.100522750966538688e+01
2.190000000000000000e+02,1.430000000000000000e+02,9.188741655409177866e+00
2.200000000000000000e+02,1.400000000000000000e+02,8.870389143679995314e+00
9.100000000000000000e+01,1.170000000000000000e+02,9.427843128902523517e+00
2.900000000000000000e+02,5.000000000000000000e+01,9.769811397915862727e+00
4.500000000000000000e+01,1.750000000000000000e+02,8.355425035223097652e+00
5.100000000000000000e+01,1.200000000000000000e+02,8.624375903876153160e+00
1.800000000000000000e+02,1.000000000000000000e+01,8.557789572485734908e+00
2.200000000000000000e+01,1.130000000000000000e+02,8.045862007266498139e+00
6.900000000000000000e+01,2.080000000000000000e+02,9.780561585932270319e+00
2.230000000000000000e+02,1.620000000000000000e+02,8.690971209023951261e+00
8.900000000000000000e+01,1.090000000000000000e+02,8.839306786222683954e+00
2.210000000000000000e+02,7.200000000000000000e+01,8.218782357681972073e+00
2.140000000000000000e+02,7.400000000000000000e+01,8.442501113839693261e+00
1.740000000000000000e+02,1.490000000000000000e+02,8.749874484462715429e+00
4.800000000000000000e+01,1.630000000000000000e+02,1.090134129756397741e+01
2.350000000000000000e+02,9.100000000000000000e+01,9.154868736608852586e+00
5.300000000000000000e+01,4.500000000000000000e+01,7.556501921464270133e+00
1.610000000000000000e+02,2.050000000000000000e+02,9.465722024522532863e+00
2.000000000000000000e+01,1.190000000000000000e+02,1.049097894234515138e+01
3.200000000000000000e+01,1.300000000000000000e+02,8.527668994221670573e+00
5.000000000000000000e+01,1.650000000000000000e+02,1.212003209271885673e+01
2.150000000000000000e+02,3.500000000000000000e+01,1.118989835210538786e+01
3.900000000000000000e+01,2.110000000000000000e+02,6.406266384544288428e+00
4.500000000000000000e+01,4.300000000000000000e+01,9.398653633981254529e+00
2.560000000000000000e+02,7.100000000000000000e+01,9.693751315980028593e+00
2.460000000000000000e+02,1.560000000000000000e+02,7.609086168707305475e+00
8.200000000000000000e+01,1.870000000000000000e+02,9.046941168084508433e+00
1.840000000000000000e+02,1.510000000000000000e+02,7.960655169451356095e+00
1.900000000000000000e+02,1.150000000000000000e+02,7.736656062651368515e+00
1.890000000000000000e+02,1.160000000000000000e+02,8.140339391533204960e+00
2.780000000000000000e+02,1.070000000000000000e+02,8.731155477018205602e+00
2.520000000000000000e+02,1.260000000000000000e+02,7.332396129426882680e+00
2.140000000000000000e+02,1.470000000000000000e+02,1.008049615791357212e+01
6.100000000000000000e+01,1.200000000000000000e+02,8.905662309008018696e+00
7.400000000000000000e+01,7.800000000000000000e+01,9.489343353593779895e+00
2.160000000000000000e+02,7.100000000000000000e+01,1.067842676327471274e+01
2.370000000000000000e+02,1.330000000000000000e+02,7.161475383245722526e+00
5.000000000000000000e+00,2.590000000000000000e+02,1.000559699561468818e+01
2.810000000000000000e+02,1.100000000000000000e+02,7.907003973478852643e+00
5.400000000000000000e+01,4.100000000000000000e+01,9.110869509504054164e+00
1.840000000000000000e+02,1.700000000000000000e+01,8.643068443041242332e+00
6.100000000000000000e+01,2.030000000000000000e+02,8.907388015258920433e+00
2.170000000000000000e+02,1.760000000000000000e+02,8.628555985218316238e+00
1.590000000000000000e+02,2.020000000000000000e+02,8.410843485063605129e+00
1.940000000000000000e+02,6.400000000000000000e+01,9.510457262947834778e+00
9.200000000000000000e+01,1.790000000000000000e+02,8.918139540948674338e+00
2.850000000000000000e+02,1.100000000000000000e+02,1.074336390135296782e+01
2.430000000000000000e+02,1.900000000000000000e+01,8.804724960926517241e+00
2.500000000000000000e+02,1.510000000000000000e+02,9.022701516955063283e+00
2.050000000000000000e+02,6.800000000000000000e+01,1.026270664831879387e+01
2.360000000000000000e+02,1.130000000000000000e+02,9.804348142800723309e+00
5.000000000000000000e+01,2.120000000000000000e+02,8.264903413059581538e+00
2.090000000000000000e+02,8.000000000000000000e+01,9.085640189890790808e+00
5.600000000000000000e+01,1.590000000000000000e+02,8.660324265933383003e+00
2.320000000000000000e+02,1.380000000000000000e+02,1.027018161225043613e+01
2.180000000000000000e+02,1.780000000000000000e+02,8.640373799774659247e+00
5.900000000000000000e+01,1.450000000000000000e+02,7.698803351764287761e+00
4.000000000000000000e+01,1.560000000000000000e+02,8.956470308080627163e+00
8.300000000000000000e+01,1.820000000000000000e+02,7.913414197783323445e+00
2.540000000000000000e+02,1.200000000000000000e+02,8.339252885660194181e+00
2.220000000000000000e+02,1.310000000000000000e+02,1.073709827076490875e+01
1.820000000000000000e+02,1.360000000000000000e+02,9.481814211665197334e+00
2.120000000000000000e+02,6.600000000000000000e+01,8.298122750192844066e+00
6.200000000000000000e+01,4.300000000000000000e+01,8.928394781297642524e+00
1.570000000000000000e+02,2.010000000000000000e+02,9.033925938590694926e+00
