centroid_x,centroid_y
1.302468345323741005e+03,6.181856115107914320e+02
1.304721582733812966e+03,6.215654676258992595e+02
1.170466187050359622e+03,6.707611510791366527e+02
1.128781294964028802e+03,7.762877697841727240e+02
1.047664748201438897e+03,5.329381294964028939e+02
1.088223021582733736e+03,8.615352517985611485e+02
1.183610071942445984e+03,9.569223021582733963e+02
1.161453237410072006e+03,7.225856115107914093e+02
1.195627338129496366e+03,7.124460431654676995e+02
9.094661870503597356e+02,9.054733812949640424e+02
1.145305035971223106e+03,5.776273381294963656e+02
8.809251798561151645e+02,5.689899280575539251e+02
9.105928057553957160e+02,8.014489208633093540e+02
1.335703597122302199e+03,9.524158273381294748e+02
1.311669064748201436e+03,9.043467625899280620e+02
1.084843165467626022e+03,8.100863309352517945e+02
1.105873381294964020e+03,7.792920863309352626e+02
1.150562589928057605e+03,7.026820143884892786e+02
1.204264748201438806e+03,5.986575539568345903e+02
1.149435971223021625e+03,5.490863309352517945e+02
1.113384172661870480e+03,4.998906474820144012e+02
1.093480575539568235e+03,5.918978417266187080e+02
1.299651798561151054e+03,1.007244604316546770e+03
1.159575539568345448e+03,7.432402877697842314e+02
1.209897841726618708e+03,7.717812949640288025e+02
1.335703597122302199e+03,9.482848920863309559e+02
1.053297841726618799e+03,5.415755395683453344e+02
1.136292086330935263e+03,6.677568345323741141e+02
1.171592805755395602e+03,1.006117985611510790e+03
1.010486330935251772e+03,8.814388489208633928e+02
1.199007194244604307e+03,7.729079136690647829e+02
1.124274820143884881e+03,8.175971223021583683e+02
1.197880575539568326e+03,6.688834532374100945e+02
9.763122302158274124e+02,5.689899280575539251e+02
9.128460431654676768e+02,8.397539568345323460e+02
1.228299280575539569e+03,1.028274820143884881e+03
8.997021582733813148e+02,7.049352517985611257e+02
1.187741007194244503e+03,9.535424460431654552e+02
1.138545323741007223e+03,6.425956834532373705e+02
9.105928057553957160e+02,8.044532374100720062e+02
1.165959712230215928e+03,7.225856115107914093e+02
1.257966906474820235e+03,7.980690647482015265e+02
1.097987050359712157e+03,9.820834532374101400e+02
8.745410071942445711e+02,7.158258992805755270e+02
8.888115107913669135e+02,7.958158273381295658e+02
1.296271942446043113e+03,5.964043165467626295e+02
1.150562589928057605e+03,8.975870503597122934e+02
1.136292086330935263e+03,6.632503597122301926e+02
1.095733812949640196e+03,5.855136690647482283e+02
8.505064748201439215e+02,5.239251798561151645e+02
8.888115107913669135e+02,7.924359712230216246e+02
1.155069064748201527e+03,7.421136690647482510e+02
8.613971223021583228e+02,6.403424460431654097e+02
9.008287769784172951e+02,7.113194244604317191e+02
8.745410071942445711e+02,7.124460431654676995e+02
8.790474820143884926e+02,7.518776978417265582e+02
1.174597122302158368e+03,8.386273381294963656e+02
1.079585611510791296e+03,7.969424460431655461e+02
1.188867625899280483e+03,5.164143884892085907e+02
1.229425899280575550e+03,5.580992805755395239e+02
1.169339568345323642e+03,6.501064748201438306e+02
1.209897841726618708e+03,7.684014388489208613e+02
1.027761151079136653e+03,7.672748201438848810e+02
1.200133812949640287e+03,6.632503597122301926e+02
1.293267625899280574e+03,7.488733812949640196e+02
9.917093525179856215e+02,9.118575539568346358e+02
8.888115107913669135e+02,9.272546762589928449e+02
7.495239465570400625e+02,6.360427543679344353e+02
7.512402877697843451e+02,6.282848920863309559e+02
5.772719424460432265e+02,4.759424460431655461e+02
6.709841726618706161e+02,4.653697841726619231e+02
7.978561151079137517e+02,6.816287769784173634e+02
8.310158273381296112e+02,4.812287769784173292e+02
8.660978417266188671e+02,2.716978417266187193e+02
6.815568345323741823e+02,3.634877697841726558e+02
7.267309352517986554e+02,5.638877697841727468e+02
8.286129496402878658e+02,2.673726618705036344e+02
5.998589928057554062e+02,6.066589928057554744e+02
7.978561151079137517e+02,6.667309352517986554e+02
7.108719424460432492e+02,6.186733812949640878e+02
5.921697841726619345e+02,4.360546762589928562e+02
6.282129496402878885e+02,5.201553956834533210e+02
6.906877697841728150e+02,3.610848920863309672e+02
7.762302158273382702e+02,6.201151079136691351e+02
5.023021582733813375e+02,6.402992805755396830e+02
4.970158273381295544e+02,4.504719424460432151e+02
7.791136690647482510e+02,2.837122302158273897e+02
5.628546762589928676e+02,5.413007194244605671e+02
5.104719424460432151e+02,5.999309352517987008e+02
8.579280575539569327e+02,6.388575539568346358e+02
6.493582733812950210e+02,5.052575539568346130e+02
7.041438848920863620e+02,4.129870503597122706e+02
8.497582733812951119e+02,3.702158273381295430e+02
8.526417266187052064e+02,5.254417266187051609e+02
8.781122302158274806e+02,4.346129496402878090e+02
5.652575539568346130e+02,4.533553956834533096e+02
7.002992805755396830e+02,5.576402877697842086e+02
6.560863309352519082e+02,5.893582733812950210e+02
8.646561151079138199e+02,6.402992805755396830e+02
8.723453237410072916e+02,3.409007194244604761e+02
8.925294964028778395e+02,3.865553956834532983e+02
5.960143884892087272e+02,6.042561151079137289e+02
5.758302158273381792e+02,4.533553956834533096e+02
5.868834532374100945e+02,4.384575539568345448e+02
8.805151079136692260e+02,4.091424460431654779e+02
1.362890887290167711e+03,3.152517985611510909e+01
1.367679136690647510e+03,2.942302158273381352e+01
1.215623021582733827e+03,4.649201438848921271e+02
1.124179136690647510e+03,4.277820143884892445e+02
9.644151079136690896e+02,2.729230215827338384e+02
9.272769784172661502e+02,2.077561151079136721e+02
1.121025899280575459e+03,8.477985611510791841e+01
1.121025899280575459e+03,1.786115107913668965e+01
1.350861870503597174e+03,3.380899280575540047e+02
1.295505035971223151e+03,2.018000000000000114e+02
1.306015827338129611e+03,2.242230215827338213e+02
1.050953956834532391e+03,6.165611510791367067e+01
1.351912949640287934e+03,4.831388489208633246e+02
1.326687050359712202e+03,4.579129496402878203e+02
1.354015107913668999e+03,3.254769784172661957e+02
1.375387050359712248e+03,3.633158273381295089e+02
1.316876978417266173e+03,2.270258992805755440e+02
1.279038129496402917e+03,2.970978417266187535e+02
1.066720143884892195e+03,4.211251798561151531e+02
1.330541007194244685e+03,1.015971223021582830e+02
1.244702877697841814e+03,1.085395683453237403e+01
1.216674100719424587e+03,1.786115107913668965e+01
1.186543165467625840e+03,2.171510791366906545e+01
1.052005035971223151e+03,3.432805755395683889e+01
9.612618705035971516e+02,2.659158273381295317e+02
1.295505035971223151e+03,2.095079136690647772e+02
1.297256834532374114e+03,2.165151079136690839e+02
1.333343884892086407e+03,2.564561151079136607e+02
9.595100719424460749e+02,1.470791366906474806e+01
1.293402877697841632e+03,3.594618705035971402e+02
1.341402158273381247e+03,5.955395683453237865e+01
1.370482014388489233e+03,3.607985611510791557e+01
1.377138848920863438e+03,1.432899280575539649e+02
1.311971942446043158e+03,2.270258992805755440e+02
9.486489208633093995e+02,2.708208633093525464e+02
1.279038129496402917e+03,3.020028776978417682e+02
9.556561151079137062e+02,2.708208633093525464e+02
9.896410071942445938e+02,2.451798561151079170e+01
1.012064028776978375e+03,3.047410071942446308e+01
9.447949640287770308e+02,4.974388489208633501e+01
9.349848920863308877e+02,9.949496402877699097e+01
1.071625179856115210e+03,7.111582733812950607e+01
1.231038848920863302e+03,4.588992805755395921e+01
1.343153956834532437e+03,1.121079136690647573e+02
1.315125179856115210e+03,3.633158273381295089e+02
1.248556834532374069e+03,3.303820143884892104e+02
9.661669064748201663e+02,2.795798561151079298e+02
1.328438848920863393e+03,4.551100719424460976e+02
1.125930935251798473e+03,1.471438848920863336e+02
1.087041007194244685e+03,1.443410071942446109e+02
1.049202158273381428e+03,6.551007194244604648e+01
9.546050359712230602e+02,5.955395683453237865e+01
1.349110071942446211e+03,4.666719424460432037e+02
9.595100719424460749e+02,6.060503597122302466e+01
1.040443165467625931e+03,4.203597122302158340e+01
1.238046043165467609e+03,5.850287769784173264e+01
1.354715827338129657e+03,3.282798561151079184e+02
1.291651079136690669e+03,3.069079136690647829e+02
1.250658992805755361e+03,3.987021582733813148e+02
1.255564028776978375e+03,4.228769784172662298e+02
1.136792086330935263e+03,1.657129496402877749e+02
1.062515827338129384e+03,4.141179856115108464e+02
9.195690647482014128e+02,4.743798561151079412e+02
1.016969064748201390e+03,3.829359712230216246e+02
1.201958992805755315e+03,1.481949640287769796e+02
1.044997841726618617e+03,3.923309352517986071e+01
1.037289928057553880e+03,6.656115107913669249e+01
1.235243165467625886e+03,6.060503597122302466e+01
1.253461870503597083e+03,4.015050359712230374e+02
1.344205035971222969e+03,3.391410071942446507e+02
9.672179856115108123e+02,2.701201438848921157e+02
9.342841726618704570e+02,2.669669064748201777e+02
1.347007913669064692e+03,1.110568345323741113e+02
