centroid_x,centroid_y
1.279000000000000000e+03,1.120000000000004547e+01
1.279000000000000000e+03,2.200000000000000000e+01
1.040000000000000000e+03,2.670000000000000000e+02
4.840000000000000000e+02,2.110000000000000000e+02
8.920000000000000000e+02,2.560000000000000000e+02
1.023000000000000000e+03,4.840000000000000000e+02
1.154000000000000000e+03,2.780000000000000000e+02
1.315000000000000000e+03,3.530000000000000000e+02
1.051000000000000000e+03,3.480000000000000000e+02
9.540000000000000000e+02,1.100000000000000000e+01
7.810000000000000000e+02,3.220000000000000000e+02
1.290000000000000000e+03,2.780000000000000000e+02
7.620000000000000000e+02,2.860000000000000000e+02
8.370000000000000000e+02,5.590000000000000000e+02
5.280000000000000000e+02,2.500000000000000000e+02
1.079000000000000000e+03,2.780000000000000000e+02
9.040000000000000000e+02,4.030000000000000000e+02
9.120000000000000000e+02,6.840000000000000000e+02
1.073000000000000000e+03,7.370000000000000000e+02
9.090000000000000000e+02,1.580000000000000000e+02
1.081000000000000000e+03,2.670000000000000000e+02
1.151000000000000000e+03,2.860000000000000000e+02
