centroid_x,centroid_y
1.314400000000000091e+03,5.732000000000000455e+02
1.311000000000000000e+03,5.840000000000000000e+02
1.337000000000000000e+03,4.140000000000000000e+02
7.200000000000000000e+02,8.590000000000000000e+02
5.420000000000000000e+02,8.560000000000000000e+02
5.200000000000000000e+02,9.310000000000000000e+02
8.480000000000000000e+02,8.260000000000000000e+02
1.315000000000000000e+03,7.900000000000000000e+02
9.370000000000000000e+02,7.650000000000000000e+02
6.810000000000000000e+02,5.870000000000000000e+02
9.090000000000000000e+02,3.590000000000000000e+02
1.284000000000000000e+03,1.700000000000000000e+02
1.307000000000000000e+03,4.560000000000000000e+02
1.326000000000000000e+03,1.220000000000000000e+02
1.204000000000000000e+03,1.610000000000000000e+02
5.140000000000000000e+02,5.450000000000000000e+02
6.780000000000000000e+02,5.480000000000000000e+02
9.920000000000000000e+02,7.810000000000000000e+02
9.540000000000000000e+02,8.900000000000000000e+02
1.293000000000000000e+03,3.140000000000000000e+02
1.209000000000000000e+03,6.060000000000000000e+02
1.248000000000000000e+03,6.980000000000000000e+02
1.140000000000000000e+03,1.020000000000000000e+03
6.480000000000000000e+02,7.340000000000000000e+02
1.209000000000000000e+03,9.560000000000000000e+02
1.190000000000000000e+03,9.150000000000000000e+02
9.340000000000000000e+02,4.750000000000000000e+02
6.700000000000000000e+02,1.031000000000000000e+03
1.026000000000000000e+03,6.780000000000000000e+02
8.370000000000000000e+02,5.250000000000000000e+02
1.176000000000000000e+03,2.640000000000000000e+02
1.245000000000000000e+03,3.750000000000000000e+02
1.101000000000000000e+03,1.950000000000000000e+02
9.150000000000000000e+02,3.090000000000000000e+02
1.307000000000000000e+03,5.120000000000000000e+02
1.140000000000000000e+03,9.950000000000000000e+02
9.480000000000000000e+02,4.670000000000000000e+02
7.060000000000000000e+02,5.200000000000000000e+02
7.900000000000000000e+02,6.840000000000000000e+02
8.780000000000000000e+02,5.750000000000000000e+02
6.560000000000000000e+02,5.500000000000000000e+02
1.098000000000000000e+03,8.590000000000000000e+02
8.340000000000000000e+02,6.620000000000000000e+02
