centroid_x,centroid_y
8.820517985611510312e+02,5.689899280575539251e+02
9.094661870503597356e+02,8.014489208633093540e+02
9.928359712230216019e+02,7.792920863309352626e+02
1.081463309352518081e+03,7.969424460431655461e+02
1.105873381294964020e+03,7.751611510791367436e+02
1.091602877697841677e+03,8.296143884892086362e+02
1.187741007194244503e+03,9.557956834532374160e+02
1.167086330935251681e+03,7.244633093525179675e+02
1.199007194244604307e+03,6.621237410071942122e+02
1.259093525179856215e+03,7.958158273381295658e+02
1.332699280575539660e+03,6.039151079136690896e+02
1.296271942446043113e+03,5.975309352517986099e+02
1.199007194244604307e+03,6.677568345323741141e+02
1.204264748201438806e+03,5.986575539568345903e+02
1.207644604316546747e+03,7.740345323741007633e+02
1.183610071942445984e+03,9.546690647482014356e+02
1.138545323741007223e+03,6.425956834532373705e+02
1.260220143884892195e+03,8.033266187050360259e+02
9.162258992805755042e+02,8.408805755395683263e+02
1.301905035971223015e+03,1.004991366906474809e+03
8.910647482014388743e+02,9.250014388489208841e+02
1.156195683453237507e+03,7.432402877697842314e+02
1.164833093525179947e+03,7.203323741007194485e+02
9.117194244604316964e+02,8.044532374100720062e+02
1.172719424460431583e+03,8.375007194244603852e+02
1.334576978417266218e+03,9.512892086330934944e+02
1.188867625899280483e+03,5.152877697841726103e+02
1.093480575539568235e+03,5.907712230215827276e+02
8.888115107913669135e+02,7.958158273381295658e+02
1.151689208633093585e+03,7.060618705035971061e+02
1.194500719424460385e+03,7.135726618705036799e+02
1.292141007194244594e+03,7.466201438848920588e+02
1.312795683453237416e+03,9.054733812949640424e+02
1.131034532374100763e+03,7.751611510791367436e+02
8.722877697841726103e+02,7.113194244604317191e+02
9.019553956834532755e+02,7.101928057553957387e+02
1.136292086330935263e+03,6.655035971223021534e+02
8.602705035971223424e+02,6.414690647482013901e+02
8.797985611510791841e+02,7.552575539568344993e+02
8.876848920863309331e+02,9.272546762589928449e+02
1.200133812949640287e+03,7.740345323741007633e+02
1.209897841726618708e+03,7.695280575539568417e+02
1.228299280575539569e+03,1.027148201438848901e+03
1.169339568345323642e+03,1.004991366906474809e+03
1.048791366906474877e+03,5.359424460431654325e+02
1.056302158273381337e+03,5.438287769784172951e+02
1.113384172661870480e+03,4.998906474820144012e+02
1.171592805755395602e+03,6.501064748201438306e+02
1.079585611510791296e+03,7.991956834532375069e+02
1.083716546762590042e+03,8.089597122302159278e+02
1.009359712230215791e+03,8.825654676258993732e+02
1.096860431654676177e+03,9.798302158273381792e+02
1.087096402877697983e+03,8.637884892086331092e+02
8.460000000000000000e+02,4.890000000000000000e+02
1.309415827338129475e+03,9.009669064748202345e+02
1.195627338129496366e+03,7.101928057553957387e+02
8.013402877697842541e+02,5.296467625899281302e+02
7.992978417266187989e+02,5.360143884892087272e+02
5.638158273381295658e+02,4.543165467625900078e+02
6.267712230215827276e+02,5.201553956834533210e+02
7.762302158273382702e+02,6.186733812949640878e+02
8.137151079136691578e+02,5.826302158273381337e+02
8.512000000000001592e+02,5.268834532374100945e+02
8.617726618705037254e+02,6.388575539568346358e+02
8.723453237410072916e+02,3.423424460431655234e+02
5.614129496402878203e+02,5.427424460431655007e+02
5.239280575539569327e+02,5.989697841726620027e+02
4.984575539568345448e+02,6.350129496402878431e+02
5.719856115107913865e+02,6.854733812949641560e+02
8.805151079136692260e+02,4.091424460431654779e+02
8.781122302158274806e+02,4.360546762589928562e+02
8.324575539568346585e+02,4.841122302158274238e+02
7.964143884892087044e+02,6.643280575539569099e+02
8.459136690647483192e+02,3.716575539568345903e+02
5.878446043165467927e+02,4.370158273381295544e+02
6.709841726618706161e+02,4.653697841726619231e+02
7.776719424460433174e+02,2.846733812949640310e+02
6.522417266187051155e+02,5.091021582733813489e+02
8.512000000000001592e+02,4.600834532374101400e+02
