centroid_x,centroid_y
5.020000000000000000e+02,1.083000000000000000e+03
4.770000000000000000e+02,1.130666666666666742e+03
4.390000000000000000e+02,9.980000000000000000e+02
5.930000000000000000e+02,2.170000000000000000e+02
4.850000000000000000e+02,5.820000000000000000e+02
1.043000000000000000e+03,5.760000000000000000e+02
2.850000000000000000e+02,9.240000000000000000e+02
1.880000000000000000e+02,1.186000000000000000e+03
9.860000000000000000e+02,2.549000000000000000e+03
1.260000000000000000e+03,2.435000000000000000e+03
8.670000000000000000e+02,1.910000000000000000e+03
8.780000000000000000e+02,1.682000000000000000e+03
1.368000000000000000e+03,2.138000000000000000e+03
4.790000000000000000e+02,5.420000000000000000e+02
6.960000000000000000e+02,9.980000000000000000e+02
7.530000000000000000e+02,6.100000000000000000e+02
1.106000000000000000e+03,1.380000000000000000e+03
2.510000000000000000e+02,2.560000000000000000e+03
2.910000000000000000e+02,9.410000000000000000e+02
4.730000000000000000e+02,1.015000000000000000e+03
5.870000000000000000e+02,1.049000000000000000e+03
1.100000000000000000e+03,1.363000000000000000e+03
1.300000000000000000e+03,2.195000000000000000e+03
1.004000000000000000e+03,2.543000000000000000e+03
4.330000000000000000e+02,2.486000000000000000e+03
6.100000000000000000e+02,1.049000000000000000e+03
8.500000000000000000e+02,8.670000000000000000e+02
6.670000000000000000e+02,1.368000000000000000e+03
6.040000000000000000e+02,1.340000000000000000e+03
1.710000000000000000e+02,1.186000000000000000e+03
4.850000000000000000e+02,2.264000000000000000e+03
7.240000000000000000e+02,2.389000000000000000e+03
1.123000000000000000e+03,1.368000000000000000e+03
1.294000000000000000e+03,1.733000000000000000e+03
8.270000000000000000e+02,2.241000000000000000e+03
7.300000000000000000e+02,9.860000000000000000e+02
1.078000000000000000e+03,9.010000000000000000e+02
3.880000000000000000e+02,4.620000000000000000e+02
5.990000000000000000e+02,2.340000000000000000e+02
5.700000000000000000e+02,2.620000000000000000e+02
1.061000000000000000e+03,5.640000000000000000e+02
1.430000000000000000e+02,8.840000000000000000e+02
2.300000000000000000e+01,9.750000000000000000e+02
7.400000000000000000e+01,1.437000000000000000e+03
1.072000000000000000e+03,9.290000000000000000e+02
8.610000000000000000e+02,2.247000000000000000e+03
8.900000000000000000e+02,2.589000000000000000e+03
7.180000000000000000e+02,2.828000000000000000e+03
9.180000000000000000e+02,2.064000000000000000e+03
8.950000000000000000e+02,1.676000000000000000e+03
7.530000000000000000e+02,2.269000000000000000e+03
1.370000000000000000e+02,1.579000000000000000e+03
7.360000000000000000e+02,5.990000000000000000e+02
4.730000000000000000e+02,2.258000000000000000e+03
2.970000000000000000e+02,2.554000000000000000e+03
3.480000000000000000e+02,7.980000000000000000e+02
1.140000000000000000e+03,4.160000000000000000e+02
1.357000000000000000e+03,9.690000000000000000e+02
4.730000000000000000e+02,5.700000000000000000e+02
1.310000000000000000e+02,8.720000000000000000e+02
6.900000000000000000e+02,1.368000000000000000e+03
5.930000000000000000e+02,1.346000000000000000e+03
6.160000000000000000e+02,2.030000000000000000e+03
6.610000000000000000e+02,1.847000000000000000e+03
1.220000000000000000e+03,1.534000000000000000e+03
9.920000000000000000e+02,2.811000000000000000e+03
5.930000000000000000e+02,2.304000000000000000e+03
1.038000000000000000e+03,2.406000000000000000e+03
6.900000000000000000e+02,2.537000000000000000e+03
2.170000000000000000e+02,2.212000000000000000e+03
4.680000000000000000e+02,1.004000000000000000e+03
6.390000000000000000e+02,2.013000000000000000e+03
8.500000000000000000e+02,1.899000000000000000e+03
7.130000000000000000e+02,9.920000000000000000e+02
2.570000000000000000e+02,2.765000000000000000e+03
3.360000000000000000e+02,7.640000000000000000e+02
6.220000000000000000e+02,2.001000000000000000e+03
1.300000000000000000e+03,2.212000000000000000e+03
8.270000000000000000e+02,8.670000000000000000e+02
3.420000000000000000e+02,7.810000000000000000e+02
3.990000000000000000e+02,4.620000000000000000e+02
5.530000000000000000e+02,2.450000000000000000e+02
7.070000000000000000e+02,1.310000000000000000e+02
4.390000000000000000e+02,2.475000000000000000e+03
8.500000000000000000e+02,2.224000000000000000e+03
2.510000000000000000e+02,2.218000000000000000e+03
9.410000000000000000e+02,2.058000000000000000e+03
1.340000000000000000e+03,1.956000000000000000e+03
1.357000000000000000e+03,4.000000000000000000e+01
8.720000000000000000e+02,1.659000000000000000e+03
7.530000000000000000e+02,2.252000000000000000e+03
8.950000000000000000e+02,2.566000000000000000e+03
1.306000000000000000e+03,1.693000000000000000e+03
5.930000000000000000e+02,1.032000000000000000e+03
4.500000000000000000e+02,9.920000000000000000e+02
1.140000000000000000e+02,8.720000000000000000e+02
4.160000000000000000e+02,2.469000000000000000e+03
2.390000000000000000e+02,2.765000000000000000e+03
8.150000000000000000e+02,8.610000000000000000e+02
7.750000000000000000e+02,1.169000000000000000e+03
1.152000000000000000e+03,3.080000000000000000e+02
1.340000000000000000e+03,9.690000000000000000e+02
3.820000000000000000e+02,1.944000000000000000e+03
4.960000000000000000e+02,9.470000000000000000e+02
1.140000000000000000e+03,3.140000000000000000e+02
1.123000000000000000e+03,4.850000000000000000e+02
4.330000000000000000e+02,5.300000000000000000e+02
7.930000000000000000e+02,1.186000000000000000e+03
2.390000000000000000e+02,2.201000000000000000e+03
1.032000000000000000e+03,2.383000000000000000e+03
1.323000000000000000e+03,1.716000000000000000e+03
7.180000000000000000e+02,2.378000000000000000e+03
1.480000000000000000e+02,1.591000000000000000e+03
