centroid_x,centroid_y
4.250000000000000000e+02,2.140000000000000000e+02
1.170000000000000000e+03,1.031000000000000000e+03
4.200000000000000000e+02,6.870000000000000000e+02
2.720000000000000000e+02,3.730000000000000000e+02
2.450000000000000000e+02,2.310000000000000000e+02
1.580000000000000000e+02,8.590000000000000000e+02
1.450000000000000000e+02,3.310000000000000000e+02
4.170000000000000000e+02,4.590000000000000000e+02
2.500000000000000000e+02,7.310000000000000000e+02
4.360000000000000000e+02,2.280000000000000000e+02
2.560000000000000000e+02,2.750000000000000000e+02
9.230000000000000000e+02,4.670000000000000000e+02
2.450000000000000000e+02,2.060000000000000000e+02
2.390000000000000000e+02,3.220000000000000000e+02
2.060000000000000000e+02,2.670000000000000000e+02
2.840000000000000000e+02,4.310000000000000000e+02
5.590000000000000000e+02,9.790000000000000000e+02
4.340000000000000000e+02,1.006000000000000000e+03
1.330000000000000000e+02,1.015000000000000000e+03
2.450000000000000000e+02,7.700000000000000000e+02
2.640000000000000000e+02,5.140000000000000000e+02
4.200000000000000000e+02,6.450000000000000000e+02
5.500000000000000000e+02,8.230000000000000000e+02
9.700000000000000000e+01,7.370000000000000000e+02
3.840000000000000000e+02,9.810000000000000000e+02
1.500000000000000000e+02,9.450000000000000000e+02
1.610000000000000000e+02,9.790000000000000000e+02
5.920000000000000000e+02,7.000000000000000000e+01
8.310000000000000000e+02,2.590000000000000000e+02
8.620000000000000000e+02,2.310000000000000000e+02
4.230000000000000000e+02,1.012000000000000000e+03
5.480000000000000000e+02,9.060000000000000000e+02
2.390000000000000000e+02,7.870000000000000000e+02
1.450000000000000000e+02,5.560000000000000000e+02
5.250000000000000000e+02,5.000000000000000000e+01
4.750000000000000000e+02,7.030000000000000000e+02
2.340000000000000000e+02,3.310000000000000000e+02
1.420000000000000000e+02,8.620000000000000000e+02
2.340000000000000000e+02,7.810000000000000000e+02
2.500000000000000000e+02,1.970000000000000000e+02
2.170000000000000000e+02,2.560000000000000000e+02
2.200000000000000000e+02,6.920000000000000000e+02
3.670000000000000000e+02,7.560000000000000000e+02
9.310000000000000000e+02,6.810000000000000000e+02
7.800000000000000000e+01,5.700000000000000000e+02
8.300000000000000000e+01,5.250000000000000000e+02
1.030000000000000000e+02,6.950000000000000000e+02
4.170000000000000000e+02,3.700000000000000000e+02
1.890000000000000000e+02,3.390000000000000000e+02
5.560000000000000000e+02,9.650000000000000000e+02
5.170000000000000000e+02,8.510000000000000000e+02
8.260000000000000000e+02,1.110000000000000000e+02
4.280000000000000000e+02,3.030000000000000000e+02
1.830000000000000000e+02,7.840000000000000000e+02
3.750000000000000000e+02,9.920000000000000000e+02
9.560000000000000000e+02,6.200000000000000000e+02
8.010000000000000000e+02,2.250000000000000000e+02
1.360000000000000000e+02,7.200000000000000000e+02
8.900000000000000000e+01,4.920000000000000000e+02
4.090000000000000000e+02,6.450000000000000000e+02
2.860000000000000000e+02,1.017000000000000000e+03
3.640000000000000000e+02,8.420000000000000000e+02
2.810000000000000000e+02,3.610000000000000000e+02
1.360000000000000000e+02,3.450000000000000000e+02
1.640000000000000000e+02,3.750000000000000000e+02
1.080000000000000000e+02,4.500000000000000000e+02
2.140000000000000000e+02,8.480000000000000000e+02
2.110000000000000000e+02,8.730000000000000000e+02
2.110000000000000000e+02,1.950000000000000000e+02
3.670000000000000000e+02,9.840000000000000000e+02
1.860000000000000000e+02,5.590000000000000000e+02
2.560000000000000000e+02,2.640000000000000000e+02
5.390000000000000000e+02,9.040000000000000000e+02
1.250000000000000000e+02,5.840000000000000000e+02
8.310000000000000000e+02,1.000000000000000000e+02
3.250000000000000000e+02,2.110000000000000000e+02
3.500000000000000000e+02,1.500000000000000000e+02
1.530000000000000000e+02,4.950000000000000000e+02
2.750000000000000000e+02,5.750000000000000000e+02
1.420000000000000000e+02,7.060000000000000000e+02
2.360000000000000000e+02,8.840000000000000000e+02
2.950000000000000000e+02,3.950000000000000000e+02
2.560000000000000000e+02,4.170000000000000000e+02
6.620000000000000000e+02,6.000000000000000000e+00
1.101006988694758547e+03,4.524197327852004378e+02
1.097523021582733918e+03,4.525877697841726786e+02
1.120499280575539615e+03,4.954820143884892332e+02
1.039572661870503680e+03,6.265956834532373705e+02
1.033926618705035935e+03,7.633553956834532528e+02
1.027025899280575459e+03,7.918992805755395921e+02
1.069371223021582864e+03,6.905841726618705252e+02
1.097915107913669090e+03,5.230848920863309104e+02
1.146847482014388561e+03,6.585899280575539478e+02
1.170686330935251817e+03,6.084028776978417454e+02
1.207071942446043067e+03,6.563942446043165546e+02
1.375825899280575641e+03,6.460431654676259541e+02
1.310896402877697938e+03,8.273438848920864075e+02
1.338185611510791432e+03,8.408316546762590633e+02
1.095405755395683400e+03,4.989323741007194144e+02
1.135241726618705115e+03,5.616661870503596674e+02
1.031730935251798655e+03,6.447884892086331092e+02
9.962863309352518399e+02,9.048201438848921043e+02
9.950316546762589951e+02,9.321093525179855988e+02
1.087564028776978375e+03,8.057007194244604307e+02
1.346341007194244639e+03,8.875683453237410276e+02
1.384922302158273396e+03,8.238935251798561694e+02
1.256317985611510721e+03,7.282244604316547338e+02
1.158139568345323823e+03,6.824287769784173179e+02
1.335989928057553925e+03,6.607856115107913411e+02
1.371434532374100854e+03,6.243999999999999773e+02
1.070312230215827412e+03,4.738388489208633132e+02
1.012283453237410072e+03,5.356316546762590178e+02
1.349791366906474877e+03,9.684949640287770762e+02
1.087564028776978375e+03,9.857467625899281529e+02
1.181037410071942531e+03,7.724517985611511222e+02
1.032671942446043204e+03,6.369467625899280847e+02
1.197034532374100763e+03,7.668057553956834909e+02
1.314346762589928176e+03,7.213237410071942577e+02
1.309641726618704979e+03,9.970388489208634155e+02
1.280156834532374205e+03,9.801007194244605216e+02
1.158139568345323823e+03,8.922733812949641106e+02
9.837395683453237325e+02,8.762762589928058787e+02
1.239066187050359758e+03,5.914647482014388515e+02
