centroid_x,centroid_y
2.122500000000000000e+02,1.294250000000000000e+03
1.970000000000000000e+02,1.294500000000000000e+03
9.610000000000000000e+02,3.280000000000000000e+02
1.060000000000000000e+03,5.770000000000000000e+02
9.570000000000000000e+02,4.740000000000000000e+02
6.990000000000000000e+02,4.970000000000000000e+02
6.470000000000000000e+02,3.560000000000000000e+02
4.550000000000000000e+02,4.360000000000000000e+02
3.420000000000000000e+02,7.790000000000000000e+02
7.830000000000000000e+02,7.080000000000000000e+02
7.930000000000000000e+02,7.930000000000000000e+02
1.309000000000000000e+03,7.790000000000000000e+02
1.351000000000000000e+03,7.080000000000000000e+02
5.960000000000000000e+02,1.107000000000000000e+03
1.224000000000000000e+03,1.144000000000000000e+03
6.430000000000000000e+02,1.505000000000000000e+03
4.460000000000000000e+02,2.035000000000000000e+03
2.950000000000000000e+02,2.275000000000000000e+03
1.313000000000000000e+03,1.942000000000000000e+03
1.341000000000000000e+03,2.120000000000000000e+03
6.890000000000000000e+02,2.331000000000000000e+03
1.051000000000000000e+03,2.490000000000000000e+02
6.850000000000000000e+02,1.956000000000000000e+03
5.820000000000000000e+02,1.102000000000000000e+03
1.337000000000000000e+03,4.170000000000000000e+02
9.150000000000000000e+02,2.303000000000000000e+03
9.570000000000000000e+02,1.979000000000000000e+03
1.149000000000000000e+03,2.007000000000000000e+03
1.309000000000000000e+03,2.275000000000000000e+03
1.332000000000000000e+03,2.256000000000000000e+03
1.276000000000000000e+03,2.096000000000000000e+03
1.271000000000000000e+03,1.862000000000000000e+03
7.180000000000000000e+02,1.867000000000000000e+03
8.350000000000000000e+02,1.384000000000000000e+03
1.030000000000000000e+02,1.491000000000000000e+03
7.740000000000000000e+02,7.270000000000000000e+02
6.850000000000000000e+02,6.610000000000000000e+02
1.069000000000000000e+03,5.860000000000000000e+02
6.140000000000000000e+02,5.200000000000000000e+01
1.177000000000000000e+03,1.407000000000000000e+03
7.930000000000000000e+02,1.848000000000000000e+03
8.630000000000000000e+02,1.693000000000000000e+03
2.860000000000000000e+02,2.279000000000000000e+03
4.970000000000000000e+02,1.853000000000000000e+03
2.860000000000000000e+02,1.815000000000000000e+03
1.170000000000000000e+02,8.110000000000000000e+02
5.070000000000000000e+02,7.790000000000000000e+02
7.550000000000000000e+02,9.760000000000000000e+02
6.140000000000000000e+02,9.800000000000000000e+01
9.470000000000000000e+02,1.960000000000000000e+03
1.450000000000000000e+02,1.341000000000000000e+03
1.224000000000000000e+03,5.200000000000000000e+01
5.670000000000000000e+02,2.110000000000000000e+02
9.400000000000000000e+01,9.850000000000000000e+02
4.970000000000000000e+02,9.330000000000000000e+02
6.710000000000000000e+02,1.130000000000000000e+03
6.050000000000000000e+02,1.642000000000000000e+03
6.000000000000000000e+02,1.890000000000000000e+03
4.220000000000000000e+02,3.800000000000000000e+02
5.670000000000000000e+02,2.200000000000000000e+02
7.130000000000000000e+02,4.920000000000000000e+02
3.470000000000000000e+02,7.690000000000000000e+02
1.170000000000000000e+02,7.970000000000000000e+02
1.215000000000000000e+03,8.070000000000000000e+02
1.013000000000000000e+03,1.116000000000000000e+03
4.740000000000000000e+02,8.210000000000000000e+02
4.270000000000000000e+02,1.604000000000000000e+03
5.110000000000000000e+02,1.853000000000000000e+03
1.243000000000000000e+03,1.360000000000000000e+03
5.210000000000000000e+02,7.790000000000000000e+02
1.252000000000000000e+03,1.571000000000000000e+03
5.960000000000000000e+02,1.830000000000000000e+02
1.055000000000000000e+03,4.270000000000000000e+02
