centroid_x,centroid_y
1.321833333333333258e+03,6.750000000000000000e+01
1.310750000000000000e+03,6.975000000000000000e+01
1.610000000000000000e+02,1.900000000000000000e+01
9.500000000000000000e+01,2.610000000000000000e+02
1.560000000000000000e+02,7.480000000000000000e+02
3.140000000000000000e+02,6.400000000000000000e+01
8.950000000000000000e+02,1.309000000000000000e+03
1.076000000000000000e+03,8.370000000000000000e+02
8.120000000000000000e+02,4.400000000000000000e+01
9.340000000000000000e+02,3.600000000000000000e+01
1.287000000000000000e+03,1.354000000000000000e+03
1.187000000000000000e+03,1.012000000000000000e+03
1.330000000000000000e+02,7.480000000000000000e+02
4.870000000000000000e+02,1.830000000000000000e+02
1.357000000000000000e+03,3.890000000000000000e+02
8.560000000000000000e+02,4.060000000000000000e+02
6.280000000000000000e+02,3.300000000000000000e+01
1.268000000000000000e+03,3.000000000000000000e+02
9.810000000000000000e+02,1.100000000000000000e+01
9.010000000000000000e+02,3.100000000000000000e+01
4.280000000000000000e+02,1.580000000000000000e+02
1.182000000000000000e+03,6.310000000000000000e+02
1.234000000000000000e+03,7.120000000000000000e+02
1.295000000000000000e+03,9.150000000000000000e+02
1.248000000000000000e+03,1.290000000000000000e+03
9.200000000000000000e+01,7.420000000000000000e+02
9.620000000000000000e+02,1.500000000000000000e+02
1.259000000000000000e+03,2.950000000000000000e+02
1.284000000000000000e+03,9.450000000000000000e+02
6.370000000000000000e+02,3.300000000000000000e+01
4.750000000000000000e+02,1.182000000000000000e+03
9.920000000000000000e+02,9.290000000000000000e+02
7.200000000000000000e+01,5.750000000000000000e+02
6.260000000000000000e+02,2.220000000000000000e+02
6.420000000000000000e+02,4.000000000000000000e+02
4.360000000000000000e+02,7.800000000000000000e+01
1.270000000000000000e+03,9.510000000000000000e+02
9.730000000000000000e+02,4.200000000000000000e+01
4.530000000000000000e+02,1.170000000000000000e+03
1.012000000000000000e+03,1.187000000000000000e+03
1.220000000000000000e+03,1.287000000000000000e+03
6.730000000000000000e+02,4.530000000000000000e+02
1.245000000000000000e+03,1.450000000000000000e+02
1.176000000000000000e+03,1.015000000000000000e+03
1.310000000000000000e+02,1.220000000000000000e+02
9.420000000000000000e+02,1.080000000000000000e+02
5.300000000000000000e+01,1.334000000000000000e+03
3.310000000000000000e+02,1.073000000000000000e+03
1.284000000000000000e+03,1.315000000000000000e+03
3.890000000000000000e+02,1.700000000000000000e+02
6.370000000000000000e+02,4.090000000000000000e+02
6.370000000000000000e+02,1.215000000000000000e+03
1.006000000000000000e+03,1.126000000000000000e+03
1.229000000000000000e+03,2.670000000000000000e+02
1.030000000000000000e+02,1.560000000000000000e+02
5.310000000000000000e+02,3.980000000000000000e+02
1.118000000000000000e+03,1.009000000000000000e+03
8.060000000000000000e+02,7.530000000000000000e+02
