centroid_x,centroid_y
8.820517985611510312e+02,5.712431654676258859e+02
1.048791366906474877e+03,5.329381294964028939e+02
1.095733812949640196e+03,5.877669064748201890e+02
8.625237410071943032e+02,6.403424460431654097e+02
1.087096402877697983e+03,8.626618705035971288e+02
1.104746762589928039e+03,7.781654676258992822e+02
1.164833093525179947e+03,7.225856115107914093e+02
1.200884892086331092e+03,7.740345323741007633e+02
1.303031654676258995e+03,6.215654676258992595e+02
1.009359712230215791e+03,8.814388489208633928e+02
1.083716546762590042e+03,8.100863309352517945e+02
1.113384172661870480e+03,5.010172661870503816e+02
1.335703597122302199e+03,9.501625899280575140e+02
1.199007194244604307e+03,6.632503597122301926e+02
1.196753956834532346e+03,6.677568345323741141e+02
1.138545323741007223e+03,6.425956834532373705e+02
1.299651798561151054e+03,1.007244604316546770e+03
1.313922302158273396e+03,9.032201438848921953e+02
1.257966906474820235e+03,7.969424460431655461e+02
1.156195683453237507e+03,7.421136690647482510e+02
8.899381294964028939e+02,7.946892086330935854e+02
8.790474820143884926e+02,7.530043165467625386e+02
1.136292086330935263e+03,6.643769784172661730e+02
1.171592805755395602e+03,1.006117985611510790e+03
1.185863309352517945e+03,9.580489208633093767e+02
1.208771223021582728e+03,7.684014388489208613e+02
1.124274820143884881e+03,8.175971223021583683e+02
8.899381294964028939e+02,9.261280575539568645e+02
1.094607194244604216e+03,5.918978417266187080e+02
1.170466187050359622e+03,6.512330935251798110e+02
1.293267625899280574e+03,7.443669064748200981e+02
1.189994244604316464e+03,5.164143884892085907e+02
8.756676258992805515e+02,7.135726618705036799e+02
8.493798561151079412e+02,5.273050359712229920e+02
9.008287769784172951e+02,7.113194244604317191e+02
9.105928057553957160e+02,8.033266187050360259e+02
9.128460431654676768e+02,8.408805755395683263e+02
1.229425899280575550e+03,1.027148201438848901e+03
1.174597122302158368e+03,8.386273381294963656e+02
1.079585611510791296e+03,7.969424460431655461e+02
1.204264748201438806e+03,5.975309352517986099e+02
1.195627338129496366e+03,7.135726618705036799e+02
