centroid_x,centroid_y
1.152815827338129566e+03,7.038086330935252590e+02
1.150562589928057605e+03,5.502129496402877749e+02
1.196753956834532346e+03,6.688834532374100945e+02
8.745410071942445711e+02,7.124460431654676995e+02
9.019553956834532755e+02,7.101928057553957387e+02
9.150992805755395239e+02,8.420071942446043067e+02
1.095733812949640196e+03,9.798302158273381792e+02
1.257966906474820235e+03,7.969424460431655461e+02
1.084843165467626022e+03,8.089597122302159278e+02
1.157322302158273487e+03,7.421136690647482510e+02
9.105928057553957160e+02,8.025755395683453344e+02
1.093480575539568235e+03,5.907712230215827276e+02
1.136292086330935263e+03,6.643769784172661730e+02
1.164833093525179947e+03,7.225856115107914093e+02
1.049917985611510858e+03,5.340647482014388743e+02
8.899381294964028939e+02,7.969424460431655461e+02
1.104746762589928039e+03,7.762877697841727240e+02
1.336830215827338179e+03,9.524158273381294748e+02
1.171592805755395602e+03,1.007244604316546770e+03
8.854316546762589724e+02,9.261280575539568645e+02
1.173470503597122388e+03,8.408805755395683263e+02
1.211024460431654688e+03,7.706546762589928221e+02
1.196753956834532346e+03,7.124460431654676995e+02
1.135165467625899282e+03,6.403424460431654097e+02
1.140798561151079184e+03,5.787539568345323460e+02
8.809251798561151645e+02,7.530043165467625386e+02
1.132161151079136744e+03,7.751611510791367436e+02
1.010486330935251772e+03,8.833165467625899510e+02
1.184736690647481964e+03,9.580489208633093767e+02
1.304158273381294975e+03,1.008371223021582750e+03
1.311669064748201436e+03,9.032201438848921953e+02
1.078458992805755315e+03,7.991956834532375069e+02
1.204264748201438806e+03,5.997841726618705707e+02
8.820517985611510312e+02,5.701165467625899055e+02
8.812359712230216928e+02,4.656100719424460976e+02
8.833985611510793206e+02,4.725784172661871025e+02
8.151568345323742051e+02,3.836719424460432037e+02
7.027021582733814284e+02,4.182733812949641106e+02
6.719453237410073143e+02,4.610446043165468382e+02
7.964143884892087044e+02,6.643280575539569099e+02
8.002589928057554971e+02,6.816287769784173634e+02
8.790733812949641788e+02,4.370158273381295544e+02
6.536834532374101627e+02,5.052575539568346130e+02
4.970158273381295544e+02,4.519136690647482624e+02
5.705438848920864530e+02,6.869151079136690896e+02
6.575280575539568417e+02,5.893582733812950210e+02
5.868834532374100945e+02,4.384575539568345448e+02
5.787136690647482737e+02,4.533553956834533096e+02
6.306158273381295203e+02,5.172719424460432265e+02
8.593697841726619799e+02,6.417410071942447303e+02
7.776719424460433174e+02,2.837122302158273897e+02
8.353410071942447530e+02,4.850733812949640651e+02
8.833985611510793206e+02,5.696546762589928221e+02
5.666992805755396603e+02,4.543165467625900078e+02
5.628546762589928676e+02,5.427424460431655007e+02
8.526417266187052064e+02,5.254417266187051609e+02
5.998589928057554062e+02,6.056978417266187762e+02
7.267309352517986554e+02,5.653294964028777940e+02
7.762302158273382702e+02,6.201151079136691351e+02
6.921294964028777486e+02,3.610848920863309672e+02
6.829985611510792296e+02,3.634877697841726558e+02
6.897266187050361168e+02,3.384978417266187307e+02
8.670589928057555653e+02,2.702561151079136721e+02
8.310158273381296112e+02,4.826705035971223765e+02
7.762302158273382702e+02,6.013726618705036344e+02
7.017410071942447303e+02,5.547568345323741141e+02
8.483165467625900646e+02,3.692546762589928449e+02
8.713841726618705934e+02,3.423424460431655234e+02
8.781122302158274806e+02,4.091424460431654779e+02
8.910877697841727922e+02,3.865553956834532983e+02
8.497582733812951119e+02,4.600834532374101400e+02
8.137151079136691578e+02,5.826302158273381337e+02
5.104719424460432151e+02,5.999309352517987008e+02
8.886848920863310468e+02,2.500719424460431810e+02
8.300546762589929131e+02,2.673726618705036344e+02
1.236994964028777076e+03,6.165611510791367067e+01
1.044997841726618617e+03,3.923309352517986071e+01
1.338248920863309422e+03,5.780215827338130197e+01
1.040443165467625931e+03,4.028417266187050672e+01
1.012064028776978375e+03,2.942302158273381352e+01
9.381381294964028257e+02,5.780215827338130197e+01
1.235943884892086317e+03,5.780215827338130197e+01
1.053056115107913683e+03,6.235683453237410845e+01
1.232089928057554062e+03,4.694100719424460522e+01
1.354715827338129657e+03,3.275791366906474877e+02
1.255564028776978375e+03,4.228769784172662298e+02
1.214571942446043067e+03,4.638690647482014811e+02
1.186543165467625840e+03,2.066402877697841944e+01
1.183389928057554016e+03,2.708208633093525464e+02
1.294453956834532391e+03,3.605129496402877862e+02
9.174669064748201208e+02,4.726280575539568645e+02
9.623129496402877976e+02,2.680179856115108237e+02
1.295505035971223151e+03,2.007489208633093654e+02
9.563568345323741369e+02,5.955395683453237865e+01
1.123128057553956751e+03,4.298841726618705366e+02
1.228235971223021579e+03,1.856187050359712387e+01
1.123128057553956751e+03,1.856187050359712387e+01
9.468971223021583228e+02,4.694100719424460522e+01
9.332330935251798110e+02,2.652151079136691010e+02
1.384146043165467745e+03,3.829359712230216246e+02
1.350161151079136744e+03,3.380899280575540047e+02
1.316876978417266173e+03,3.615640287769784322e+02
1.119274100719424496e+03,8.477985611510791841e+01
1.085989928057553925e+03,1.464431654676259029e+02
1.343153956834532437e+03,1.110568345323741113e+02
1.244702877697841814e+03,1.085395683453237403e+01
1.251710071942446120e+03,4.025561151079136835e+02
1.328438848920863393e+03,4.551100719424460976e+02
1.199156115107913593e+03,1.492460431654676256e+02
1.039392086330935172e+03,6.726187050359712316e+01
9.272769784172661502e+02,2.084568345323741028e+02
1.059712949640287661e+03,4.151690647482014924e+02
1.066720143884892195e+03,4.218258992805755838e+02
1.247856115107913638e+03,3.331848920863309331e+02
9.546050359712230602e+02,2.701201438848921157e+02
1.333343884892086407e+03,2.564561151079136607e+02
1.313023021582733918e+03,3.605129496402877862e+02
1.014866906474820098e+03,3.811841726618705479e+02
1.348058992805755452e+03,4.677230215827338498e+02
1.277987050359712157e+03,2.970978417266187535e+02
1.072325899280575641e+03,7.111582733812950607e+01
1.295505035971223151e+03,2.077561151079136721e+02
1.124179136690647510e+03,1.471438848920863336e+02
1.117171942446043204e+03,1.520489208633093767e+02
6.179928057553958070e+02,7.932762589928058787e+02
5.610834532374101400e+02,7.424446043165468154e+02
6.671669064748202800e+02,7.512848920863309559e+02
3.627294964028777713e+02,7.374719424460431583e+02
5.025165467625900533e+02,7.789107913669065510e+02
4.920187050359713226e+02,7.579151079136690896e+02
5.732388489208634610e+02,8.253223021582734873e+02
6.516964028776980058e+02,7.960388489208633018e+02
5.732388489208634610e+02,9.745021582733813830e+02
5.334575539568346585e+02,9.098575539568346358e+02
7.975611510791369483e+02,6.822201438848920816e+02
5.715812949640289844e+02,6.882978417266186852e+02
7.837482014388491507e+02,7.529424460431655461e+02
7.992187050359714249e+02,7.993539568345324824e+02
7.776705035971225470e+02,6.208906474820144012e+02
7.097107913669066193e+02,7.546000000000000227e+02
7.959035971223023580e+02,6.673021582733813375e+02
