centroid_x,centroid_y
4.655000000000000000e+02,1.176750000000000000e+03
4.725000000000000000e+02,1.185000000000000000e+03
8.100000000000000000e+01,5.730000000000000000e+02
1.060000000000000000e+02,1.500000000000000000e+02
5.280000000000000000e+02,3.950000000000000000e+02
6.280000000000000000e+02,3.100000000000000000e+01
1.182000000000000000e+03,1.012000000000000000e+03
9.900000000000000000e+02,9.290000000000000000e+02
1.282000000000000000e+03,1.315000000000000000e+03
1.226000000000000000e+03,2.720000000000000000e+02
4.950000000000000000e+02,1.780000000000000000e+02
6.170000000000000000e+02,4.170000000000000000e+02
4.340000000000000000e+02,1.580000000000000000e+02
8.120000000000000000e+02,3.900000000000000000e+01
9.790000000000000000e+02,1.100000000000000000e+01
1.009000000000000000e+03,1.129000000000000000e+03
5.620000000000000000e+02,1.215000000000000000e+03
8.950000000000000000e+02,1.307000000000000000e+03
1.120000000000000000e+03,1.006000000000000000e+03
1.273000000000000000e+03,3.000000000000000000e+02
3.950000000000000000e+02,1.720000000000000000e+02
4.090000000000000000e+02,9.500000000000000000e+01
9.590000000000000000e+02,1.470000000000000000e+02
1.079000000000000000e+03,8.340000000000000000e+02
3.250000000000000000e+02,6.700000000000000000e+01
1.187000000000000000e+03,6.260000000000000000e+02
6.390000000000000000e+02,1.204000000000000000e+03
5.300000000000000000e+01,1.332000000000000000e+03
1.017000000000000000e+03,1.190000000000000000e+03
9.040000000000000000e+02,3.100000000000000000e+01
1.248000000000000000e+03,1.450000000000000000e+02
8.530000000000000000e+02,4.060000000000000000e+02
1.237000000000000000e+03,7.090000000000000000e+02
1.000000000000000000e+02,7.450000000000000000e+02
1.262000000000000000e+03,2.950000000000000000e+02
1.640000000000000000e+02,7.530000000000000000e+02
1.279000000000000000e+03,9.510000000000000000e+02
4.560000000000000000e+02,1.165000000000000000e+03
8.010000000000000000e+02,7.530000000000000000e+02
6.420000000000000000e+02,4.000000000000000000e+02
1.560000000000000000e+02,1.500000000000000000e+02
1.293000000000000000e+03,9.150000000000000000e+02
1.131000000000000000e+03,5.590000000000000000e+02
1.134000000000000000e+03,5.870000000000000000e+02
9.700000000000000000e+02,3.300000000000000000e+01
9.400000000000000000e+02,1.110000000000000000e+02
