centroid_x,centroid_y
2.390000000000000000e+02,4.340000000000000000e+02
8.230000000000000000e+02,1.060000000000000000e+02
2.310000000000000000e+02,3.390000000000000000e+02
1.390000000000000000e+02,5.590000000000000000e+02
1.220000000000000000e+02,1.015000000000000000e+03
1.250000000000000000e+02,5.480000000000000000e+02
1.280000000000000000e+02,3.420000000000000000e+02
1.193374100719424405e+03,6.683201438848921043e+02
1.197505035971223151e+03,6.722633093525180357e+02
1.081463309352518081e+03,8.003223021582734873e+02
1.205391366906474786e+03,5.964043165467626295e+02
1.162579856115107987e+03,7.255899280575539478e+02
1.104746762589928039e+03,7.815453237410072234e+02
9.774388489208632791e+02,5.656100719424460976e+02
1.150562589928057605e+03,7.026820143884892786e+02
1.200884892086331092e+03,6.020374100719424177e+02
1.175723741007194349e+03,8.386273381294963656e+02
1.309415827338129475e+03,9.077266187050360031e+02
1.056302158273381337e+03,5.415755395683453344e+02
1.299651798561151054e+03,5.975309352517986099e+02
1.170466187050359622e+03,6.501064748201438306e+02
1.261346762589927948e+03,7.958158273381295658e+02
1.228299280575539569e+03,5.558460431654676768e+02
8.797985611510791841e+02,5.678633093525179447e+02
9.928359712230216019e+02,7.781654676258992822e+02
1.186614388489208523e+03,9.569223021582733963e+02
1.191120863309352444e+03,5.141611510791367436e+02
1.113384172661870480e+03,5.021438848920863052e+02
1.083716546762590042e+03,8.078330935251799474e+02
8.876848920863309331e+02,9.272546762589928449e+02
1.048791366906474877e+03,5.306848920863309331e+02
1.081463309352518081e+03,7.969424460431655461e+02
1.293267625899280574e+03,7.466201438848920588e+02
1.011612949640287752e+03,8.833165467625899510e+02
1.010486330935251772e+03,8.791856115107914320e+02
1.181356834532374251e+03,9.569223021582733963e+02
1.170466187050359622e+03,8.397539568345323460e+02
8.790474820143884926e+02,7.507510791366906915e+02
9.019553956834532755e+02,7.101928057553957387e+02
8.625237410071943032e+02,6.425956834532373705e+02
1.138545323741007223e+03,6.444733812949640424e+02
1.129907913669064783e+03,7.762877697841727240e+02
1.200133812949640287e+03,7.740345323741007633e+02
1.151689208633093585e+03,5.524661870503597356e+02
1.313922302158273396e+03,9.009669064748202345e+02
1.096860431654676177e+03,9.820834532374101400e+02
9.083395683453237552e+02,8.033266187050360259e+02
8.505064748201439215e+02,5.261784172661870116e+02
8.779208633093525123e+02,7.158258992805755270e+02
9.128460431654676768e+02,8.055798561151079866e+02
1.052171223021582819e+03,5.359424460431654325e+02
1.157322302158273487e+03,7.432402877697842314e+02
1.194500719424460385e+03,7.101928057553957387e+02
1.141925179856115165e+03,5.787539568345323460e+02
1.137418705035971243e+03,6.643769784172661730e+02
1.301905035971223015e+03,1.006117985611510790e+03
1.335703597122302199e+03,9.535424460431654552e+02
1.169339568345323642e+03,1.006117985611510790e+03
1.231679136690647510e+03,1.022641726618705093e+03
1.208771223021582728e+03,7.717812949640288025e+02
1.255713669064748274e+03,7.991956834532375069e+02
9.060863309352517945e+02,9.066000000000000227e+02
8.745410071942445711e+02,7.113194244604317191e+02
6.822776978417266491e+02,3.622863309352518399e+02
6.849208633093526259e+02,3.607244604316547338e+02
8.300546762589929131e+02,4.826705035971223765e+02
8.497582733812951119e+02,3.716575539568345903e+02
6.786733812949640878e+02,3.625266187050360145e+02
8.737870503597123388e+02,3.461870503597122593e+02
8.790733812949641788e+02,4.091424460431654779e+02
8.353410071942447530e+02,4.812287769784173292e+02
8.512000000000001592e+02,4.572000000000000455e+02
5.157582733812949982e+02,6.028143884892087954e+02
5.840000000000000000e+02,4.384575539568345448e+02
4.998992805755395921e+02,4.490302158273381679e+02
6.508000000000000682e+02,5.038158273381295658e+02
