centroid_x,centroid_y
6.000000000000000000e+00,1.450000000000000000e+02
1.233333333333333393e+01,1.293333333333333712e+02
9.060000000000000000e+02,4.000000000000000000e+02
1.081000000000000000e+03,2.720000000000000000e+02
1.287000000000000000e+03,2.720000000000000000e+02
1.312000000000000000e+03,3.560000000000000000e+02
1.315000000000000000e+03,1.500000000000000000e+02
1.223000000000000000e+03,6.700000000000000000e+01
5.370000000000000000e+02,7.010000000000000000e+02
9.200000000000000000e+02,7.280000000000000000e+02
4.870000000000000000e+02,2.110000000000000000e+02
1.279000000000000000e+03,3.600000000000000000e+01
8.870000000000000000e+02,2.500000000000000000e+02
1.051000000000000000e+03,3.450000000000000000e+02
1.315000000000000000e+03,1.220000000000000000e+02
7.870000000000000000e+02,3.170000000000000000e+02
8.920000000000000000e+02,2.590000000000000000e+02
1.232000000000000000e+03,6.100000000000000000e+01
9.510000000000000000e+02,8.000000000000000000e+00
5.250000000000000000e+02,2.500000000000000000e+02
8.370000000000000000e+02,5.560000000000000000e+02
7.650000000000000000e+02,2.890000000000000000e+02
7.780000000000000000e+02,3.200000000000000000e+02
1.093000000000000000e+03,4.500000000000000000e+02
1.026000000000000000e+03,4.920000000000000000e+02
1.376000000000000000e+03,8.900000000000000000e+01
9.060000000000000000e+02,6.780000000000000000e+02
1.343000000000000000e+03,6.230000000000000000e+02
1.293000000000000000e+03,2.890000000000000000e+02
9.120000000000000000e+02,1.560000000000000000e+02
1.273000000000000000e+03,6.000000000000000000e+00
1.087000000000000000e+03,4.420000000000000000e+02
8.980000000000000000e+02,4.000000000000000000e+02
9.900000000000000000e+02,3.480000000000000000e+02
1.073000000000000000e+03,7.310000000000000000e+02
1.154000000000000000e+03,3.600000000000000000e+01
