centroid_x,centroid_y
1.262777777777777828e+03,2.967777777777778283e+02
1.275000000000000000e+03,2.946666666666667425e+02
3.950000000000000000e+02,1.780000000000000000e+02
1.245000000000000000e+03,1.500000000000000000e+02
8.560000000000000000e+02,4.060000000000000000e+02
1.610000000000000000e+02,7.480000000000000000e+02
1.237000000000000000e+03,7.090000000000000000e+02
4.700000000000000000e+02,1.179000000000000000e+03
9.560000000000000000e+02,1.530000000000000000e+02
1.279000000000000000e+03,9.450000000000000000e+02
6.700000000000000000e+02,4.450000000000000000e+02
4.030000000000000000e+02,9.500000000000000000e+01
9.010000000000000000e+02,3.300000000000000000e+01
8.150000000000000000e+02,3.600000000000000000e+01
4.500000000000000000e+02,1.162000000000000000e+03
7.500000000000000000e+01,5.730000000000000000e+02
9.920000000000000000e+02,9.310000000000000000e+02
1.106000000000000000e+03,1.170000000000000000e+03
1.220000000000000000e+03,1.282000000000000000e+03
1.284000000000000000e+03,1.321000000000000000e+03
1.282000000000000000e+03,1.351000000000000000e+03
5.280000000000000000e+02,3.980000000000000000e+02
9.340000000000000000e+02,1.110000000000000000e+02
6.340000000000000000e+02,3.100000000000000000e+01
1.610000000000000000e+02,1.450000000000000000e+02
6.340000000000000000e+02,1.209000000000000000e+03
1.001000000000000000e+03,1.126000000000000000e+03
1.015000000000000000e+03,1.187000000000000000e+03
6.390000000000000000e+02,4.000000000000000000e+02
4.250000000000000000e+02,1.560000000000000000e+02
4.870000000000000000e+02,1.810000000000000000e+02
1.070000000000000000e+03,8.370000000000000000e+02
5.000000000000000000e+01,1.332000000000000000e+03
1.087000000000000000e+03,3.730000000000000000e+02
1.131000000000000000e+03,1.006000000000000000e+03
5.560000000000000000e+02,1.223000000000000000e+03
9.840000000000000000e+02,1.400000000000000000e+01
8.600000000000000000e+01,7.420000000000000000e+02
1.293000000000000000e+03,9.150000000000000000e+02
1.184000000000000000e+03,1.015000000000000000e+03
1.154000000000000000e+03,6.170000000000000000e+02
1.330000000000000000e+02,1.200000000000000000e+02
1.060000000000000000e+02,1.500000000000000000e+02
3.200000000000000000e+02,7.000000000000000000e+01
6.230000000000000000e+02,2.170000000000000000e+02
9.010000000000000000e+02,1.307000000000000000e+03
1.084000000000000000e+03,8.280000000000000000e+02
1.226000000000000000e+03,2.720000000000000000e+02
8.090000000000000000e+02,7.530000000000000000e+02
1.020000000000000000e+03,6.950000000000000000e+02
