centroid_x,centroid_y
1.330000000000000000e+02,5.560000000000000000e+02
3.390000000000000000e+02,1.560000000000000000e+02
2.280000000000000000e+02,2.390000000000000000e+02
1.950000000000000000e+02,2.780000000000000000e+02
1.310000000000000000e+02,3.480000000000000000e+02
2.310000000000000000e+02,4.310000000000000000e+02
8.170000000000000000e+02,1.080000000000000000e+02
1.310000000000000000e+02,3.390000000000000000e+02
5.200000000000000000e+02,5.600000000000000000e+01
2.720000000000000000e+02,1.026000000000000000e+03
1.170000000000000000e+02,1.020000000000000000e+03
