centroid_x,centroid_y
4.250000000000000000e+02,2.140000000000000000e+02
1.170000000000000000e+03,1.031000000000000000e+03
4.200000000000000000e+02,6.870000000000000000e+02
2.720000000000000000e+02,3.730000000000000000e+02
2.450000000000000000e+02,2.310000000000000000e+02
1.580000000000000000e+02,8.590000000000000000e+02
1.450000000000000000e+02,3.310000000000000000e+02
4.170000000000000000e+02,4.590000000000000000e+02
2.500000000000000000e+02,7.310000000000000000e+02
4.360000000000000000e+02,2.280000000000000000e+02
2.560000000000000000e+02,2.750000000000000000e+02
9.230000000000000000e+02,4.670000000000000000e+02
2.450000000000000000e+02,2.060000000000000000e+02
2.390000000000000000e+02,3.220000000000000000e+02
2.060000000000000000e+02,2.670000000000000000e+02
2.840000000000000000e+02,4.310000000000000000e+02
5.590000000000000000e+02,9.790000000000000000e+02
4.340000000000000000e+02,1.006000000000000000e+03
1.330000000000000000e+02,1.015000000000000000e+03
2.450000000000000000e+02,7.700000000000000000e+02
2.640000000000000000e+02,5.140000000000000000e+02
4.200000000000000000e+02,6.450000000000000000e+02
5.500000000000000000e+02,8.230000000000000000e+02
9.700000000000000000e+01,7.370000000000000000e+02
3.840000000000000000e+02,9.810000000000000000e+02
1.500000000000000000e+02,9.450000000000000000e+02
1.610000000000000000e+02,9.790000000000000000e+02
5.920000000000000000e+02,7.000000000000000000e+01
8.310000000000000000e+02,2.590000000000000000e+02
8.620000000000000000e+02,2.310000000000000000e+02
4.230000000000000000e+02,1.012000000000000000e+03
5.480000000000000000e+02,9.060000000000000000e+02
2.390000000000000000e+02,7.870000000000000000e+02
1.450000000000000000e+02,5.560000000000000000e+02
5.250000000000000000e+02,5.000000000000000000e+01
4.750000000000000000e+02,7.030000000000000000e+02
2.340000000000000000e+02,3.310000000000000000e+02
1.420000000000000000e+02,8.620000000000000000e+02
2.340000000000000000e+02,7.810000000000000000e+02
2.500000000000000000e+02,1.970000000000000000e+02
2.170000000000000000e+02,2.560000000000000000e+02
2.200000000000000000e+02,6.920000000000000000e+02
3.670000000000000000e+02,7.560000000000000000e+02
9.310000000000000000e+02,6.810000000000000000e+02
7.800000000000000000e+01,5.700000000000000000e+02
8.300000000000000000e+01,5.250000000000000000e+02
1.030000000000000000e+02,6.950000000000000000e+02
4.170000000000000000e+02,3.700000000000000000e+02
1.890000000000000000e+02,3.390000000000000000e+02
5.560000000000000000e+02,9.650000000000000000e+02
5.170000000000000000e+02,8.510000000000000000e+02
8.260000000000000000e+02,1.110000000000000000e+02
4.280000000000000000e+02,3.030000000000000000e+02
1.830000000000000000e+02,7.840000000000000000e+02
3.750000000000000000e+02,9.920000000000000000e+02
9.560000000000000000e+02,6.200000000000000000e+02
8.010000000000000000e+02,2.250000000000000000e+02
1.360000000000000000e+02,7.200000000000000000e+02
8.900000000000000000e+01,4.920000000000000000e+02
4.090000000000000000e+02,6.450000000000000000e+02
2.860000000000000000e+02,1.017000000000000000e+03
3.640000000000000000e+02,8.420000000000000000e+02
2.810000000000000000e+02,3.610000000000000000e+02
1.360000000000000000e+02,3.450000000000000000e+02
1.640000000000000000e+02,3.750000000000000000e+02
1.080000000000000000e+02,4.500000000000000000e+02
2.140000000000000000e+02,8.480000000000000000e+02
2.110000000000000000e+02,8.730000000000000000e+02
2.110000000000000000e+02,1.950000000000000000e+02
3.670000000000000000e+02,9.840000000000000000e+02
1.860000000000000000e+02,5.590000000000000000e+02
2.560000000000000000e+02,2.640000000000000000e+02
5.390000000000000000e+02,9.040000000000000000e+02
1.250000000000000000e+02,5.840000000000000000e+02
8.310000000000000000e+02,1.000000000000000000e+02
3.250000000000000000e+02,2.110000000000000000e+02
3.500000000000000000e+02,1.500000000000000000e+02
1.530000000000000000e+02,4.950000000000000000e+02
2.750000000000000000e+02,5.750000000000000000e+02
1.420000000000000000e+02,7.060000000000000000e+02
2.360000000000000000e+02,8.840000000000000000e+02
2.950000000000000000e+02,3.950000000000000000e+02
2.560000000000000000e+02,4.170000000000000000e+02
6.620000000000000000e+02,6.000000000000000000e+00
