centroid_x,centroid_y
1.040000000000000000e+03,3.380000000000000000e+02
3.940000000000000000e+02,3.600000000000000000e+01
5.290000000000000000e+02,7.590000000000000000e+02
5.590000000000000000e+02,1.440000000000000000e+03
1.490000000000000000e+02,1.249000000000000000e+03
9.110000000000000000e+02,1.258000000000000000e+03
7.350000000000000000e+02,1.351000000000000000e+03
1.315000000000000000e+03,7.080000000000000000e+02
7.140000000000000000e+02,1.109000000000000000e+03
2.780000000000000000e+02,1.458000000000000000e+03
1.210000000000000000e+03,6.690000000000000000e+02
6.750000000000000000e+02,1.324000000000000000e+03
1.279000000000000000e+03,1.067000000000000000e+03
1.640000000000000000e+02,1.306000000000000000e+03
3.790000000000000000e+02,7.830000000000000000e+02
4.690000000000000000e+02,5.710000000000000000e+02
1.255000000000000000e+03,9.000000000000000000e+00
1.213000000000000000e+03,6.780000000000000000e+02
1.670000000000000000e+02,1.297000000000000000e+03
6.510000000000000000e+02,1.129000000000000000e+03
1.490000000000000000e+02,1.258000000000000000e+03
1.043000000000000000e+03,8.610000000000000000e+02
1.147000000000000000e+03,8.580000000000000000e+02
5.350000000000000000e+02,1.082000000000000000e+03
3.880000000000000000e+02,4.200000000000000000e+01
7.830000000000000000e+02,2.450000000000000000e+02
1.282000000000000000e+03,7.500000000000000000e+01
2.960000000000000000e+02,3.710000000000000000e+02
2.990000000000000000e+02,1.850000000000000000e+02
1.168000000000000000e+03,2.840000000000000000e+02
1.043000000000000000e+03,8.720000000000000000e+02
1.670000000000000000e+02,1.094000000000000000e+03
9.680000000000000000e+02,4.180000000000000000e+02
1.288000000000000000e+03,8.400000000000000000e+01
6.000000000000000000e+00,1.970000000000000000e+02
1.031000000000000000e+03,3.380000000000000000e+02
1.210000000000000000e+03,5.620000000000000000e+02
1.200000000000000000e+02,9.000000000000000000e+00
7.080000000000000000e+02,1.103000000000000000e+03
1.049000000000000000e+03,1.094000000000000000e+03
8.670000000000000000e+02,5.650000000000000000e+02
1.276000000000000000e+03,1.073000000000000000e+03
6.510000000000000000e+02,1.121000000000000000e+03
1.228000000000000000e+03,3.500000000000000000e+02
1.147000000000000000e+03,8.700000000000000000e+02
4.200000000000000000e+01,3.230000000000000000e+02
5.710000000000000000e+02,3.200000000000000000e+02
8.640000000000000000e+02,5.740000000000000000e+02
9.110000000000000000e+02,1.270000000000000000e+03
6.750000000000000000e+02,1.315000000000000000e+03
