centroid_x,centroid_y
1336.0,112.0
455.0,651.0
1047.0,487.0
844.0,362.0
213.0,115.0
319.0,548.0
989.0,693.0
728.0,726.0
1314.0,173.0
1139.0,123.0
847.0,156.0
266.0,426.0
527.0,721.0
452.0,95.0
880.0,454.0
247.0,290.0
597.0,290.0
880.0,104.0
908.0,943.0
878.0,732.0
622.0,9.0
450.0,657.0
889.0,104.0
1042.0,426.0
219.0,618.0
344.0,248.0
530.0,729.0
311.0,362.0
1261.0,979.0
616.0,320.0
983.0,690.0
1100.0,323.0
992.0,582.0
158.0,376.0
197.0,162.0
569.0,201.0
452.0,546.0
983.0,1018.0
202.0,118.0
850.0,109.0
1228.0,31.0
755.0,548.0
