centroid_x,centroid_y
1.282000000000000000e+03,5.170000000000000000e+02
1.580000000000000000e+02,4.590000000000000000e+02
1.360000000000000000e+02,8.260000000000000000e+02
1.860000000000000000e+02,4.000000000000000000e+02
8.950000000000000000e+02,3.560000000000000000e+02
8.920000000000000000e+02,2.470000000000000000e+02
1.248000000000000000e+03,5.120000000000000000e+02
2.090000000000000000e+02,2.860000000000000000e+02
7.800000000000000000e+01,6.890000000000000000e+02
6.400000000000000000e+01,5.370000000000000000e+02
1.240000000000000000e+03,5.310000000000000000e+02
2.110000000000000000e+02,5.780000000000000000e+02
1.232000000000000000e+03,5.170000000000000000e+02
1.087000000000000000e+03,5.120000000000000000e+02
1.093599999999999909e+03,5.660000000000000000e+02
1.090750000000000000e+03,5.713750000000000000e+02
1.298500000000000000e+03,1.011750000000000000e+03
1.305099999999999909e+03,1.007799999999999955e+03
1.133750000000000000e+03,9.062500000000000000e+02
1.141900000000000091e+03,9.125000000000000000e+02
1.058200000000000045e+03,9.892000000000000455e+02
1.065909090909090992e+03,9.856363636363636260e+02
1.100000000000000000e+03,5.812500000000000000e+02
1.107200000000000045e+03,5.816000000000000227e+02
1.140375000000000000e+03,1.027000000000000000e+03
1.137400000000000091e+03,1.032000000000000000e+03
1.184000000000000000e+03,7.000000000000000000e+02
1.164000000000000000e+03,7.250000000000000000e+02
1.347000000000000000e+03,8.910000000000000000e+02
8.740000000000000000e+02,5.660000000000000000e+02
9.030000000000000000e+02,8.120000000000000000e+02
1.221000000000000000e+03,9.160000000000000000e+02
1.340000000000000000e+03,9.000000000000000000e+02
1.234000000000000000e+03,8.220000000000000000e+02
1.346000000000000000e+03,7.710000000000000000e+02
1.286000000000000000e+03,6.710000000000000000e+02
1.029000000000000000e+03,7.040000000000000000e+02
1.252000000000000000e+03,9.790000000000000000e+02
1.195000000000000000e+03,6.710000000000000000e+02
1.008000000000000000e+03,7.140000000000000000e+02
1.256000000000000000e+03,8.010000000000000000e+02
1.141000000000000000e+03,6.140000000000000000e+02
1.288000000000000000e+03,5.820000000000000000e+02
1.297000000000000000e+03,5.770000000000000000e+02
1.316000000000000000e+03,6.000000000000000000e+02
1.367000000000000000e+03,6.820000000000000000e+02
9.160000000000000000e+02,7.460000000000000000e+02
1.123000000000000000e+03,7.320000000000000000e+02
1.098000000000000000e+03,9.850000000000000000e+02
1.082000000000000000e+03,1.018000000000000000e+03
1.160000000000000000e+03,8.820000000000000000e+02
1.252000000000000000e+03,8.330000000000000000e+02
1.298000000000000000e+03,8.110000000000000000e+02
8.980000000000000000e+02,9.600000000000000000e+02
1.258000000000000000e+03,6.590000000000000000e+02
1.190000000000000000e+03,1.030000000000000000e+03
1.209000000000000000e+03,9.790000000000000000e+02
1.217000000000000000e+03,9.970000000000000000e+02
1.068000000000000000e+03,9.180000000000000000e+02
9.630000000000000000e+02,6.550000000000000000e+02
1.048000000000000000e+03,6.580000000000000000e+02
1.138000000000000000e+03,7.380000000000000000e+02
1.333000000000000000e+03,7.080000000000000000e+02
1.345000000000000000e+03,7.320000000000000000e+02
1.049000000000000000e+03,5.550000000000000000e+02
1.132000000000000000e+03,6.050000000000000000e+02
1.138000000000000000e+03,6.460000000000000000e+02
1.225000000000000000e+03,5.640000000000000000e+02
1.251000000000000000e+03,6.790000000000000000e+02
1.364000000000000000e+03,6.990000000000000000e+02
9.610000000000000000e+02,7.550000000000000000e+02
1.171000000000000000e+03,8.240000000000000000e+02
1.049000000000000000e+03,7.850000000000000000e+02
9.200000000000000000e+02,9.580000000000000000e+02
1.278000000000000000e+03,1.002000000000000000e+03
1.306000000000000000e+03,8.430000000000000000e+02
1.167000000000000000e+03,7.020000000000000000e+02
1.202000000000000000e+03,6.020000000000000000e+02
1.261000000000000000e+03,5.590000000000000000e+02
1.316000000000000000e+03,5.880000000000000000e+02
1.354000000000000000e+03,6.620000000000000000e+02
1.344000000000000000e+03,6.850000000000000000e+02
1.329000000000000000e+03,7.300000000000000000e+02
1.266000000000000000e+03,6.940000000000000000e+02
1.108000000000000000e+03,6.760000000000000000e+02
9.760000000000000000e+02,6.210000000000000000e+02
