col,row,snr
2.410000000000000000e+02,5.900000000000000000e+01,7.935977651589255721e+00
1.690000000000000000e+02,1.490000000000000000e+02,8.203983267957177361e+00
2.090000000000000000e+02,1.530000000000000000e+02,7.929326905399507908e+00
5.000000000000000000e+01,1.640000000000000000e+02,8.327334383925652617e+00
1.570000000000000000e+02,1.050000000000000000e+02,9.228554320966521729e+00
2.380000000000000000e+02,5.700000000000000000e+01,6.817801373403543863e+00
1.000000000000000000e+02,5.100000000000000000e+01,8.779500325020759277e+00
1.940000000000000000e+02,5.800000000000000000e+01,8.048812461819970565e+00
2.160000000000000000e+02,1.200000000000000000e+02,1.050785909948516128e+01
5.000000000000000000e+00,1.950000000000000000e+02,1.004464028386797025e+01
2.170000000000000000e+02,1.520000000000000000e+02,9.216744470485412677e+00
7.100000000000000000e+01,1.990000000000000000e+02,9.391565770484973541e+00
7.600000000000000000e+01,1.760000000000000000e+02,9.285810115883334603e+00
2.120000000000000000e+02,1.630000000000000000e+02,9.211491138482204022e+00
2.310000000000000000e+02,1.170000000000000000e+02,7.791486148903294051e+00
2.430000000000000000e+02,5.400000000000000000e+01,7.308760470601697534e+00
2.160000000000000000e+02,9.800000000000000000e+01,9.361779526867735512e+00
2.710000000000000000e+02,1.520000000000000000e+02,9.100204491463040668e+00
4.200000000000000000e+01,6.600000000000000000e+01,9.988249483318879740e+00
3.700000000000000000e+01,1.330000000000000000e+02,7.339175527733287296e+00
2.230000000000000000e+02,2.700000000000000000e+01,8.735309143657881137e+00
5.700000000000000000e+01,1.730000000000000000e+02,7.696101438432191522e+00
1.010000000000000000e+02,1.800000000000000000e+02,9.692453889902918007e+00
1.690000000000000000e+02,9.000000000000000000e+01,6.929965858683956093e+00
2.380000000000000000e+02,1.240000000000000000e+02,1.060614833119700684e+01
9.300000000000000000e+01,1.820000000000000000e+02,7.885851646834252549e+00
9.000000000000000000e+00,1.990000000000000000e+02,8.975930972723748624e+00
2.790000000000000000e+02,1.460000000000000000e+02,8.939535910639987648e+00
1.750000000000000000e+02,1.000000000000000000e+02,7.969599297078689304e+00
7.000000000000000000e+01,1.970000000000000000e+02,1.055573838764212269e+01
2.080000000000000000e+02,4.300000000000000000e+01,1.030798302592738125e+01
2.570000000000000000e+02,1.020000000000000000e+02,9.838738335477980712e+00
5.800000000000000000e+01,1.920000000000000000e+02,9.367329293890335862e+00
4.500000000000000000e+01,6.100000000000000000e+01,9.610408201514761828e+00
7.300000000000000000e+01,1.460000000000000000e+02,6.744807618440392005e+00
2.290000000000000000e+02,7.000000000000000000e+01,8.360603936379565226e+00
5.200000000000000000e+01,1.670000000000000000e+02,8.019558780746185889e+00
6.400000000000000000e+01,5.900000000000000000e+01,8.246259685633765102e+00
2.140000000000000000e+02,1.180000000000000000e+02,8.603927092138203392e+00
1.470000000000000000e+02,1.090000000000000000e+02,8.082655233422375574e+00
7.000000000000000000e+00,2.650000000000000000e+02,7.645260567452792699e+00
2.760000000000000000e+02,3.400000000000000000e+01,8.865137172531710519e+00
7.500000000000000000e+01,6.300000000000000000e+01,8.866557564621551535e+00
2.540000000000000000e+02,1.020000000000000000e+02,9.199745679907096019e+00
1.700000000000000000e+02,1.240000000000000000e+02,1.029717856628857398e+01
2.600000000000000000e+02,1.080000000000000000e+02,8.321276966523349472e+00
1.900000000000000000e+02,7.600000000000000000e+01,8.213725954683850361e+00
6.500000000000000000e+01,1.860000000000000000e+02,9.786815425903785837e+00
2.440000000000000000e+02,8.000000000000000000e+01,8.782551342749094658e+00
1.600000000000000000e+02,1.510000000000000000e+02,9.175585064723648543e+00
1.330000000000000000e+02,1.100000000000000000e+02,8.405867525384538297e+00
1.240000000000000000e+02,1.150000000000000000e+02,9.004684347194956473e+00
5.700000000000000000e+01,2.160000000000000000e+02,7.497474837213061072e+00
7.100000000000000000e+01,1.640000000000000000e+02,1.035746397662771123e+01
3.000000000000000000e+01,1.290000000000000000e+02,9.066120327763002251e+00
1.960000000000000000e+02,7.600000000000000000e+01,1.027319318308545171e+01
2.630000000000000000e+02,1.320000000000000000e+02,9.734933876535382780e+00
2.740000000000000000e+02,4.500000000000000000e+01,8.658493428055745511e+00
2.580000000000000000e+02,1.130000000000000000e+02,8.955437095315920359e+00
2.610000000000000000e+02,9.800000000000000000e+01,1.018840683929344948e+01
3.600000000000000000e+01,6.800000000000000000e+01,8.937221621477807076e+00
2.460000000000000000e+02,1.090000000000000000e+02,9.038996372639916288e+00
2.170000000000000000e+02,3.800000000000000000e+01,8.751396159286908727e+00
1.920000000000000000e+02,5.500000000000000000e+01,8.263133873449049815e+00
2.100000000000000000e+01,1.220000000000000000e+02,8.905818959301804227e+00
2.230000000000000000e+02,8.300000000000000000e+01,1.014391865827778361e+01
3.400000000000000000e+01,9.100000000000000000e+01,9.210663512956193344e+00
1.870000000000000000e+02,6.300000000000000000e+01,9.622803194941832672e+00
2.110000000000000000e+02,1.470000000000000000e+02,1.018696575704126062e+01
2.520000000000000000e+02,7.600000000000000000e+01,9.360426948187507534e+00
4.000000000000000000e+01,7.500000000000000000e+01,1.101426389420458207e+01
2.660000000000000000e+02,1.170000000000000000e+02,8.610896022854960918e+00
2.250000000000000000e+02,6.700000000000000000e+01,8.145974264352981109e+00
5.000000000000000000e+01,1.780000000000000000e+02,9.723378024313875656e+00
6.800000000000000000e+01,1.680000000000000000e+02,9.767454039146116429e+00
2.150000000000000000e+02,9.100000000000000000e+01,1.021983031998367153e+01
1.100000000000000000e+01,9.900000000000000000e+01,9.567340003963849426e+00
1.640000000000000000e+02,9.400000000000000000e+01,9.396650588935463233e+00
2.520000000000000000e+02,7.500000000000000000e+01,9.463919704290390200e+00
9.300000000000000000e+01,5.100000000000000000e+01,8.009814421462072787e+00
1.790000000000000000e+02,1.290000000000000000e+02,8.724599109605598812e+00
1.400000000000000000e+02,1.080000000000000000e+02,9.622905149746003417e+00
1.300000000000000000e+01,2.660000000000000000e+02,9.868420748758731875e+00
7.000000000000000000e+01,1.510000000000000000e+02,1.008166199214826442e+01
1.740000000000000000e+02,9.200000000000000000e+01,9.245336196305411036e+00
1.810000000000000000e+02,8.900000000000000000e+01,9.335609327907913979e+00
2.630000000000000000e+02,1.310000000000000000e+02,8.935406270124488515e+00
8.700000000000000000e+01,1.790000000000000000e+02,6.587641213588018907e+00
8.000000000000000000e+00,1.040000000000000000e+02,9.204557231307351373e+00
1.880000000000000000e+02,3.100000000000000000e+01,8.694342386579831938e+00
2.050000000000000000e+02,1.110000000000000000e+02,8.954049324892221051e+00
2.230000000000000000e+02,1.510000000000000000e+02,1.023559797051727394e+01
1.840000000000000000e+02,2.500000000000000000e+01,8.755201077882617255e+00
2.710000000000000000e+02,3.800000000000000000e+01,1.063184741693052082e+01
2.270000000000000000e+02,2.200000000000000000e+01,9.444496727385162771e+00
5.200000000000000000e+01,1.980000000000000000e+02,8.925005401281685735e+00
2.530000000000000000e+02,7.400000000000000000e+01,9.657364196416077462e+00
3.300000000000000000e+01,8.600000000000000000e+01,8.530290136197171691e+00
7.400000000000000000e+01,1.990000000000000000e+02,7.507144978116079947e+00
5.100000000000000000e+01,2.140000000000000000e+02,9.654557093351703756e+00
