col,row,snr
2.400000000000000000e+02,9.800000000000000000e+01,1.663810146235886478e+01
2.480000000000000000e+02,1.140000000000000000e+02,1.927903459788006302e+01
2.260000000000000000e+02,7.200000000000000000e+01,1.680173001419267820e+01
5.000000000000000000e+00,9.300000000000000000e+01,1.825385820338475540e+01
5.800000000000000000e+01,1.620000000000000000e+02,1.776695456159846387e+01
2.630000000000000000e+02,3.200000000000000000e+01,1.718861063298779612e+01
1.880000000000000000e+02,1.430000000000000000e+02,1.860682090168043601e+01
6.400000000000000000e+01,1.120000000000000000e+02,1.873832143623142343e+01
6.500000000000000000e+01,1.590000000000000000e+02,1.762661814104210123e+01
5.100000000000000000e+01,1.680000000000000000e+02,1.731933107791322257e+01
2.890000000000000000e+02,1.440000000000000000e+02,1.753677212336068791e+01
2.660000000000000000e+02,1.900000000000000000e+01,1.961320135038237567e+01
6.400000000000000000e+01,1.980000000000000000e+02,1.653113817657544260e+01
5.500000000000000000e+01,2.010000000000000000e+02,1.846243906784792799e+01
2.250000000000000000e+02,5.900000000000000000e+01,1.781710349498378321e+01
7.400000000000000000e+01,6.700000000000000000e+01,1.916693260848776603e+01
7.000000000000000000e+01,2.060000000000000000e+02,1.713270218571388170e+01
4.900000000000000000e+01,6.800000000000000000e+01,1.842848846614096203e+01
6.400000000000000000e+01,2.050000000000000000e+02,1.714130644360201217e+01
8.400000000000000000e+01,2.060000000000000000e+02,1.743304708680817328e+01
6.900000000000000000e+01,6.600000000000000000e+01,1.782495179765658833e+01
4.600000000000000000e+01,1.300000000000000000e+02,1.762237733284467112e+01
2.250000000000000000e+02,4.900000000000000000e+01,1.924609615907441196e+01
2.440000000000000000e+02,6.100000000000000000e+01,1.822532553780608922e+01
2.320000000000000000e+02,6.800000000000000000e+01,1.798252459911179102e+01
2.270000000000000000e+02,6.000000000000000000e+01,1.837292761617955250e+01
2.670000000000000000e+02,8.000000000000000000e+00,1.715978675480513260e+01
2.700000000000000000e+02,3.600000000000000000e+01,1.648945746528999123e+01
7.400000000000000000e+01,1.350000000000000000e+02,2.024779825679010870e+01
6.200000000000000000e+01,5.700000000000000000e+01,1.870614760087143935e+01
7.300000000000000000e+01,1.340000000000000000e+02,1.725949779859790567e+01
2.800000000000000000e+02,3.900000000000000000e+01,1.882274198139581500e+01
2.500000000000000000e+02,3.000000000000000000e+01,2.019154586886802960e+01
2.910000000000000000e+02,4.400000000000000000e+01,1.710224729435960711e+01
2.440000000000000000e+02,7.900000000000000000e+01,1.857066159236256553e+01
2.920000000000000000e+02,6.800000000000000000e+01,1.801040177101394590e+01
2.640000000000000000e+02,1.210000000000000000e+02,1.727583113831935435e+01
4.700000000000000000e+01,4.800000000000000000e+01,1.899253406859031301e+01
4.000000000000000000e+01,1.500000000000000000e+02,1.703821970246053752e+01
2.680000000000000000e+02,1.420000000000000000e+02,1.696628875345729526e+01
1.880000000000000000e+02,1.070000000000000000e+02,1.961058064739071582e+01
1.790000000000000000e+02,1.390000000000000000e+02,1.865321913097478657e+01
2.610000000000000000e+02,5.200000000000000000e+01,1.707692144942229717e+01
6.600000000000000000e+01,1.880000000000000000e+02,1.765060706254426393e+01
2.810000000000000000e+02,8.000000000000000000e+01,1.681349146114611059e+01
2.590000000000000000e+02,1.160000000000000000e+02,1.902990319654542972e+01
2.350000000000000000e+02,6.400000000000000000e+01,1.893668495032915899e+01
2.730000000000000000e+02,1.290000000000000000e+02,1.786737266605945251e+01
2.160000000000000000e+02,7.100000000000000000e+01,1.783417690917604048e+01
2.760000000000000000e+02,1.210000000000000000e+02,1.857878419591001062e+01
