col,row,snr
3.100000000000000000e+01,1.310000000000000000e+02,1.232728812048944178e+01
2.230000000000000000e+02,6.600000000000000000e+01,9.651832681450470020e+00
7.800000000000000000e+01,1.420000000000000000e+02,8.831947546424324003e+00
2.330000000000000000e+02,3.200000000000000000e+01,1.001335680126894800e+01
2.570000000000000000e+02,1.050000000000000000e+02,1.056890319593879823e+01
1.010000000000000000e+02,1.890000000000000000e+02,9.155349213688859678e+00
1.890000000000000000e+02,5.800000000000000000e+01,6.947587697518672556e+00
6.400000000000000000e+01,6.100000000000000000e+01,9.830156677995368852e+00
2.740000000000000000e+02,3.600000000000000000e+01,1.024068580265598349e+01
4.400000000000000000e+01,1.240000000000000000e+02,8.306106377027580479e+00
7.400000000000000000e+01,7.700000000000000000e+01,8.888559280157837250e+00
2.500000000000000000e+02,3.000000000000000000e+01,8.342750382288773636e+00
7.600000000000000000e+01,2.020000000000000000e+02,8.388742961828377531e+00
5.200000000000000000e+01,1.940000000000000000e+02,7.724072391500651946e+00
2.080000000000000000e+02,6.000000000000000000e+01,9.932372209159623822e+00
2.890000000000000000e+02,1.440000000000000000e+02,1.045757216867391826e+01
5.500000000000000000e+01,6.900000000000000000e+01,7.720676187706596139e+00
9.000000000000000000e+00,1.790000000000000000e+02,8.312305091477336205e+00
6.400000000000000000e+01,4.800000000000000000e+01,6.767545701794954738e+00
3.400000000000000000e+01,1.450000000000000000e+02,8.436578007942387103e+00
2.780000000000000000e+02,1.230000000000000000e+02,7.846132535503561378e+00
6.800000000000000000e+01,1.850000000000000000e+02,7.825971563774471562e+00
2.660000000000000000e+02,3.500000000000000000e+01,8.761778034594712494e+00
5.900000000000000000e+01,1.200000000000000000e+02,8.074951238651713936e+00
2.940000000000000000e+02,8.600000000000000000e+01,1.039377523376305312e+01
2.580000000000000000e+02,6.300000000000000000e+01,9.149337280412421336e+00
2.760000000000000000e+02,1.070000000000000000e+02,8.305358558605256292e+00
2.570000000000000000e+02,2.400000000000000000e+01,8.782057319390595751e+00
1.900000000000000000e+02,1.350000000000000000e+02,9.285660151047080646e+00
1.930000000000000000e+02,7.800000000000000000e+01,8.924615419644794656e+00
2.760000000000000000e+02,1.310000000000000000e+02,1.030646152450503195e+01
2.600000000000000000e+01,1.230000000000000000e+02,8.521559409935157703e+00
1.950000000000000000e+02,5.600000000000000000e+01,9.292209829863905313e+00
2.490000000000000000e+02,1.600000000000000000e+01,9.240656195202907597e+00
2.420000000000000000e+02,1.320000000000000000e+02,1.040883162952332341e+01
1.830000000000000000e+02,1.260000000000000000e+02,6.351960753594272369e+00
7.900000000000000000e+01,1.270000000000000000e+02,7.652671158712575306e+00
2.810000000000000000e+02,5.600000000000000000e+01,1.031166469008959297e+01
7.400000000000000000e+01,5.600000000000000000e+01,9.469427166681931851e+00
7.800000000000000000e+01,1.700000000000000000e+02,8.266233885634951761e+00
6.100000000000000000e+01,1.330000000000000000e+02,8.514059519633715212e+00
5.900000000000000000e+01,1.580000000000000000e+02,8.172617441223486878e+00
1.760000000000000000e+02,1.340000000000000000e+02,9.713199316887553891e+00
7.900000000000000000e+01,1.640000000000000000e+02,1.007721121778259921e+01
6.600000000000000000e+01,1.930000000000000000e+02,8.469147261300509655e+00
2.350000000000000000e+02,5.700000000000000000e+01,1.032518275402228980e+01
1.800000000000000000e+01,1.700000000000000000e+02,8.836167311755568576e+00
2.560000000000000000e+02,6.900000000000000000e+01,8.015957763611334386e+00
2.430000000000000000e+02,3.300000000000000000e+01,8.883710248017347766e+00
2.320000000000000000e+02,1.010000000000000000e+02,8.382240542521090632e+00
