col,row,snr
4.500000000000000000e+01,1.540000000000000000e+02,2.105044768470485650e+01
2.000000000000000000e+02,7.700000000000000000e+01,1.878677956109882174e+01
1.960000000000000000e+02,1.020000000000000000e+02,2.033360767430567861e+01
4.500000000000000000e+01,1.520000000000000000e+02,1.972638967132271048e+01
1.710000000000000000e+02,1.360000000000000000e+02,2.183085807083639907e+01
2.460000000000000000e+02,6.000000000000000000e+00,1.984288803274975876e+01
2.920000000000000000e+02,1.440000000000000000e+02,2.059993461197943532e+01
1.630000000000000000e+02,1.350000000000000000e+02,2.076031346788451870e+01
2.900000000000000000e+02,3.300000000000000000e+01,2.039146842454505304e+01
2.400000000000000000e+02,3.600000000000000000e+01,1.923764808084576217e+01
2.230000000000000000e+02,5.700000000000000000e+01,1.868428827798984670e+01
2.700000000000000000e+01,1.710000000000000000e+02,1.937669626013190083e+01
1.700000000000000000e+01,1.500000000000000000e+02,2.038787671546839064e+01
2.510000000000000000e+02,9.500000000000000000e+01,2.161675893563685236e+01
2.800000000000000000e+02,2.400000000000000000e+01,2.247945209549559564e+01
2.630000000000000000e+02,3.800000000000000000e+01,2.084335634548526883e+01
2.900000000000000000e+02,2.000000000000000000e+01,2.223555387890588264e+01
1.400000000000000000e+01,1.790000000000000000e+02,1.804615047605305733e+01
2.300000000000000000e+02,7.100000000000000000e+01,1.980822944008479780e+01
6.200000000000000000e+01,1.410000000000000000e+02,1.970637118978586955e+01
2.480000000000000000e+02,1.340000000000000000e+02,2.122596590462122279e+01
1.700000000000000000e+02,9.000000000000000000e+01,2.028451004353618004e+01
2.360000000000000000e+02,6.500000000000000000e+01,1.960894044500883382e+01
3.500000000000000000e+01,1.870000000000000000e+02,2.115291178006340189e+01
2.410000000000000000e+02,1.350000000000000000e+02,2.042576098139053187e+01
2.790000000000000000e+02,5.000000000000000000e+01,1.886823788897547871e+01
7.700000000000000000e+01,2.070000000000000000e+02,1.937335524950751520e+01
5.000000000000000000e+01,4.500000000000000000e+01,1.971378375328341193e+01
2.180000000000000000e+02,1.270000000000000000e+02,1.998401006570826866e+01
7.300000000000000000e+01,1.780000000000000000e+02,2.033751181870835367e+01
2.720000000000000000e+02,2.500000000000000000e+01,1.967989054655653902e+01
2.700000000000000000e+02,7.300000000000000000e+01,1.999069227586540265e+01
2.900000000000000000e+02,1.100000000000000000e+01,1.848424807240199286e+01
2.580000000000000000e+02,8.900000000000000000e+01,2.016405375558378665e+01
7.000000000000000000e+01,6.900000000000000000e+01,2.191093257300207142e+01
4.800000000000000000e+01,5.500000000000000000e+01,2.099699021741984239e+01
7.300000000000000000e+01,1.270000000000000000e+02,1.970853523798647799e+01
2.620000000000000000e+02,4.200000000000000000e+01,1.881580632611618853e+01
2.500000000000000000e+01,1.130000000000000000e+02,2.058002401110830704e+01
2.700000000000000000e+02,4.700000000000000000e+01,1.862231271543235422e+01
1.880000000000000000e+02,1.320000000000000000e+02,2.051254810634306835e+01
5.000000000000000000e+00,1.680000000000000000e+02,1.859934036799529622e+01
2.350000000000000000e+02,6.200000000000000000e+01,2.003423120076654840e+01
6.100000000000000000e+01,5.200000000000000000e+01,1.946962370583287338e+01
2.330000000000000000e+02,1.310000000000000000e+02,2.038066118730064247e+01
2.550000000000000000e+02,9.400000000000000000e+01,2.091403691995214587e+01
2.580000000000000000e+02,7.200000000000000000e+01,2.170082812348947243e+01
2.180000000000000000e+02,7.600000000000000000e+01,1.938695681871877596e+01
2.830000000000000000e+02,7.200000000000000000e+01,1.918966167874928885e+01
2.740000000000000000e+02,4.700000000000000000e+01,1.972243601707817362e+01
